Problem File,Number of Steps,States Visited,
blocksworld_graphplan/p08-01.pl,8,16,0.904310599
blocksworld_graphplan/p08-02.pl,9,10,1.915735012
blocksworld_graphplan/p08-03.pl,12,110,5.340721671
blocksworld_graphplan/p08-04.pl,3,5,0.067408858
blocksworld_graphplan/p08-05.pl,10,27,2.152412017
blocksworld_graphplan/p08-06.pl,14,16,5.316003914
blocksworld_graphplan/p08-07.pl,11,32,3.552087341
blocksworld_graphplan/p08-08.pl,9,10,0.961696754
blocksworld_graphplan/p08-09.pl,9,10,3.3877149
blocksworld_graphplan/p08-10.pl,12,66,5.543858545
blocksworld_graphplan/p08-11.pl,9,75,3.982610827
blocksworld_graphplan/p08-12.pl,11,12,4.556772423
blocksworld_graphplan/p08-13.pl,10,11,1.180276471
blocksworld_graphplan/p08-14.pl,8,9,0.214240141
blocksworld_graphplan/p08-15.pl,9,37,3.581766403
blocksworld_graphplan/p08-16.pl,9,10,4.361204659
blocksworld_graphplan/p08-17.pl,9,10,0.920130828
blocksworld_graphplan/p08-18.pl,9,14,1.076400851
blocksworld_graphplan/p08-19.pl,9,12,3.904048305
blocksworld_graphplan/p08-20.pl,8,9,0.447466891
blocksworld_graphplan/p08-21.pl,7,8,0.337436311
blocksworld_graphplan/p08-22.pl,7,8,0.261280133
blocksworld_graphplan/p08-23.pl,10,77,12.035686955
blocksworld_graphplan/p08-24.pl,9,11,0.864003506
blocksworld_graphplan/p08-25.pl,12,73,13.612290988
blocksworld_graphplan/p09-01.pl,9,13,4.849009671
blocksworld_graphplan/p09-02.pl,14,46,12.137403983
blocksworld_graphplan/p09-03.pl,10,19,4.4947856
blocksworld_graphplan/p09-04.pl,12,50,30.687862957
blocksworld_graphplan/p09-05.pl,12,13,3.453644042
blocksworld_graphplan/p09-06.pl,10,18,13.201962219
blocksworld_graphplan/p09-07.pl,12,42,17.649896759
blocksworld_graphplan/p09-08.pl,11,44,4.903043563
blocksworld_graphplan/p09-09.pl,11,12,6.500090468
blocksworld_graphplan/p09-10.pl,10,12,18.929499592
blocksworld_graphplan/p09-11.pl,15,1092,377.859080551
blocksworld_graphplan/p09-12.pl,10,11,4.194716064
blocksworld_graphplan/p09-13.pl,5,6,0.560454226
blocksworld_graphplan/p09-14.pl,9,10,1.624412551
blocksworld_graphplan/p09-15.pl,13,399,105.561388025
blocksworld_graphplan/p09-16.pl,11,12,2.592873558
blocksworld_graphplan/p09-17.pl,11,20,1.561814859
blocksworld_graphplan/p09-18.pl,11,15,5.655854971
blocksworld_graphplan/p09-19.pl,12,15,4.430175581
blocksworld_graphplan/p09-20.pl,13,80,67.721215176
blocksworld_graphplan/p09-21.pl,13,34,13.55125731
blocksworld_graphplan/p09-22.pl,14,16,7.931654293
blocksworld_graphplan/p09-23.pl,11,157,42.953452422
blocksworld_graphplan/p09-24.pl,10,27,31.314046805
blocksworld_graphplan/p09-25.pl,10,19,1.864679074
blocksworld_graphplan/p10-01.pl,11,15,427.669998616
blocksworld_graphplan/p10-02.pl,13,62,210.405692479
blocksworld_graphplan/p10-03.pl,11,189,54.743013612
blocksworld_graphplan/p10-04.pl,8,9,2.594503326
blocksworld_graphplan/p10-05.pl,14,17,466.830456618
blocksworld_graphplan/p10-06.pl,13,57,28.573604543
blocksworld_graphplan/p10-07.pl,14,129,240.903734909
blocksworld_graphplan/p10-08.pl,15,93,310.621965803
blocksworld_graphplan/p10-09.pl,14,39,14.994087329
blocksworld_graphplan/p10-10.pl,15,16,482.994683898
blocksworld_graphplan/p10-11.pl,11,12,4.726916121
blocksworld_graphplan/p10-12.pl,13,14,99.889694429
blocksworld_graphplan/p10-13.pl,9,10,8.193326826
blocksworld_graphplan/p10-14.pl,13,109,104.102848761
blocksworld_graphplan/p10-15.pl,15,74,83.803084402
blocksworld_graphplan/p10-16.pl,15,17,117.906802
blocksworld_graphplan/p10-17.pl,9,10,2.847318367
blocksworld_graphplan/p10-18.pl,16,21,78.421320873
blocksworld_graphplan/p10-19.pl,13,21,71.702237787
blocksworld_graphplan/p10-20.pl,14,185,351.140556255
blocksworld_graphplan/p10-21.pl,9,10,1.528287717
blocksworld_graphplan/p10-22.pl,12,13,15.508702853
blocksworld_graphplan/p10-23.pl,12,13,38.019133347
blocksworld_graphplan/p10-24.pl,14,26,218.53894562
blocksworld_graphplan/p10-25.pl,11,62,19.399959895
blocksworld_graphplan/p11-01.pl,16,29,55.618824085
blocksworld_graphplan/p11-02.pl,13,15,12.856845287
blocksworld_graphplan/p11-03.pl,13,28,62.99738914
blocksworld_graphplan/p11-04.pl,12,13,17.845948638
blocksworld_graphplan/p11-05.pl,11,16,10.202488825
blocksworld_graphplan/p11-06.pl,14,18,31.473580419
blocksworld_graphplan/p11-07.pl,15,16,116.538192273
blocksworld_graphplan/p11-08.pl,14,15,427.862220902
blocksworld_graphplan/p11-09.pl,17,192,174.318945416
blocksworld_graphplan/p11-11.pl,15,25,135.249955699
blocksworld_graphplan/p11-12.pl,12,14,14.839524569
blocksworld_graphplan/p11-13.pl,15,345,501.437387271
blocksworld_graphplan/p11-15.pl,14,68,32.458577962
blocksworld_graphplan/p11-16.pl,,,
blocksworld_graphplan/p11-17.pl,13,32,82.996454278
blocksworld_graphplan/p11-18.pl,16,19,34.811028903
blocksworld_graphplan/p11-19.pl,,,
blocksworld_graphplan/p11-21.pl,12,13,11.705423518
blocksworld_graphplan/p11-22.pl,14,511,132.421464616
blocksworld_graphplan/p11-24.pl,,,
