Problem File,Number of Steps,States Visited,
depot_graphplan/p1-1-1-2-2-1-2.pl,5,6,0.033360038
depot_graphplan/p1-1-1-2-2-2-1.pl,10,23,0.075468308
depot_graphplan/p1-1-1-2-2-3-1.pl,12,85,0.357940341
depot_graphplan/p1-1-1-2-2-3-2.pl,11,66,0.227694819
depot_graphplan/p1-1-2-2-2-2-1.pl,9,30,0.155670322
depot_graphplan/p1-1-2-2-2-2-2.pl,10,30,0.138731484
depot_graphplan/p1-1-2-2-2-3-1.pl,11,101,0.603671696
depot_graphplan/p1-1-2-2-2-3-2.pl,14,118,0.947702098
depot_graphplan/p1-1-3-2-2-1-1.pl,5,6,0.04592281
depot_graphplan/p1-1-3-2-2-2-1.pl,5,6,0.05526579
depot_graphplan/p1-1-3-2-2-3-1.pl,11,804,5.832756291
depot_graphplan/p1-2-1-3-3-1-2.pl,5,6,0.038683609
depot_graphplan/p1-2-1-3-3-2-1.pl,6,10,0.058189108
depot_graphplan/p1-2-1-3-3-2-2.pl,6,7,0.051003516
depot_graphplan/p1-2-1-3-3-3-1.pl,12,75,0.424182544
depot_graphplan/p1-2-1-3-3-3-2.pl,11,40,0.277127217
depot_graphplan/p1-2-2-3-3-1-2.pl,5,6,0.051937511
depot_graphplan/p1-2-2-3-3-2-1.pl,6,7,0.068220598
depot_graphplan/p1-2-2-3-3-2-2.pl,5,6,0.063979165
depot_graphplan/p1-2-2-3-3-3-1.pl,10,22,0.248790063
depot_graphplan/p1-2-3-3-3-1-1.pl,5,6,0.070081799
depot_graphplan/p1-2-3-3-3-2-1.pl,10,23,0.434881858
depot_graphplan/p1-2-3-3-3-2-2.pl,11,17,0.320095598
depot_graphplan/p1-2-3-3-3-3-1.pl,11,355,7.476869554
depot_graphplan/p1-3-1-4-4-1-1.pl,5,6,0.046965024
depot_graphplan/p1-3-1-4-4-1-2.pl,6,7,0.051627558
depot_graphplan/p1-3-1-4-4-2-1.pl,6,7,0.065169235
depot_graphplan/p1-3-1-4-4-3-1.pl,17,795,6.993345576
depot_graphplan/p1-3-1-4-4-3-2.pl,15,306,2.74672889
depot_graphplan/p1-3-2-4-4-1-1.pl,6,7,0.085909489
depot_graphplan/p1-3-2-4-4-1-2.pl,5,6,0.071184345
depot_graphplan/p1-3-2-4-4-2-2.pl,10,22,0.387287751
depot_graphplan/p1-3-2-4-4-3-2.pl,13,31,0.72993892
depot_graphplan/p1-3-3-4-4-1-1.pl,6,9,0.178272241
depot_graphplan/p1-3-3-4-4-1-2.pl,6,7,0.131395826
depot_graphplan/p1-3-3-4-4-2-2.pl,6,9,0.229516729
depot_graphplan/p2-1-1-3-3-1-1.pl,6,7,0.041862596
depot_graphplan/p2-1-1-3-3-1-2.pl,5,6,0.038707849
depot_graphplan/p2-1-1-3-3-2-1.pl,10,78,0.335631538
depot_graphplan/p2-1-1-3-3-2-2.pl,6,7,0.051230386
depot_graphplan/p2-1-1-3-3-3-1.pl,10,14,0.120493116
depot_graphplan/p2-1-1-3-3-3-2.pl,11,40,0.273408655
depot_graphplan/p2-1-2-3-3-1-2.pl,5,6,0.051462343
depot_graphplan/p2-1-2-3-3-2-1.pl,11,14,0.153502541
depot_graphplan/p2-1-2-3-3-2-2.pl,5,6,0.063937975
depot_graphplan/p2-1-3-3-3-1-1.pl,5,6,0.070120715
depot_graphplan/p2-1-3-3-3-2-1.pl,6,8,0.119762281
depot_graphplan/p2-1-3-3-3-2-2.pl,11,17,0.322434968
depot_graphplan/p2-1-3-3-3-3-1.pl,10,53,1.286342254
depot_graphplan/p2-2-1-4-4-1-1.pl,5,6,0.046869957
depot_graphplan/p2-2-1-4-4-1-2.pl,6,8,0.057162315
depot_graphplan/p2-2-1-4-4-2-1.pl,11,12,0.102842768
depot_graphplan/p2-2-1-4-4-3-1.pl,17,749,6.182073607
depot_graphplan/p2-2-1-4-4-3-2.pl,15,228,2.139724434
depot_graphplan/p2-2-2-4-4-1-1.pl,6,8,0.095257545
depot_graphplan/p2-2-2-4-4-1-2.pl,5,6,0.071098333
depot_graphplan/p2-2-2-4-4-2-2.pl,10,29,0.514788688
depot_graphplan/p2-2-2-4-4-3-2.pl,13,43,1.216992491
depot_graphplan/p2-2-3-4-4-1-1.pl,6,11,0.228713749
depot_graphplan/p2-2-3-4-4-1-2.pl,6,7,0.131818523
depot_graphplan/p2-2-3-4-4-2-2.pl,6,7,0.164587649
depot_graphplan/p2-3-1-5-5-1-1.pl,6,7,0.06594294
depot_graphplan/p2-3-1-5-5-1-2.pl,6,7,0.066330865
depot_graphplan/p2-3-1-5-5-2-1.pl,11,12,0.139556348
depot_graphplan/p2-3-1-5-5-2-2.pl,12,114,0.901998022
depot_graphplan/p2-3-1-5-5-3-1.pl,17,73,1.424380348
depot_graphplan/p2-3-1-5-5-3-2.pl,16,137,1.92300785
depot_graphplan/p2-3-2-5-5-1-1.pl,6,7,0.120448458
depot_graphplan/p2-3-2-5-5-1-2.pl,6,7,0.120320363
depot_graphplan/p2-3-2-5-5-2-1.pl,12,88,2.115675724
depot_graphplan/p2-3-2-5-5-3-2.pl,15,41,1.908173968
depot_graphplan/p2-3-3-5-5-1-1.pl,5,6,0.166266699
depot_graphplan/p2-3-3-5-5-1-2.pl,6,8,0.244596781
depot_graphplan/p2-3-3-5-5-2-1.pl,11,12,0.516132657
depot_graphplan/p2-3-3-5-5-2-2.pl,6,8,0.30671792
depot_graphplan/p2-3-3-5-5-3-1.pl,11,12,0.726368026
