Problem File,Number of Steps,States Visited,
grippers_graphplan/p1-2-5-1.pl,4,5,0.031568574
grippers_graphplan/p1-2-5-2.pl,8,10,0.039105331
grippers_graphplan/p1-2-6-1.pl,11,37,0.099899127
grippers_graphplan/p1-2-6-2.pl,6,7,0.034860907
grippers_graphplan/p1-2-7-1.pl,8,12,0.054225237
grippers_graphplan/p1-2-7-2.pl,14,255,0.524843989
grippers_graphplan/p1-2-8-1.pl,5,6,0.036120412
grippers_graphplan/p1-2-8-2.pl,12,225,0.55124867
grippers_graphplan/p1-3-5-1.pl,9,16,0.058039253
grippers_graphplan/p1-3-5-2.pl,12,42,0.117065265
grippers_graphplan/p1-3-6-1.pl,12,66,0.203033552
grippers_graphplan/p1-3-6-2.pl,13,105,0.279878251
grippers_graphplan/p1-3-7-1.pl,12,73,0.270964455
grippers_graphplan/p1-3-7-2.pl,18,1108,4.023693194
grippers_graphplan/p1-3-8-1.pl,17,663,2.82936559
grippers_graphplan/p1-3-8-2.pl,14,53,0.231486933
grippers_graphplan/p1-4-5-1.pl,10,22,0.09294278
grippers_graphplan/p1-4-5-2.pl,13,40,0.152104048
grippers_graphplan/p1-4-6-1.pl,19,865,4.160780406
grippers_graphplan/p1-4-6-2.pl,13,84,0.319758011
grippers_graphplan/p1-4-7-1.pl,15,58,0.297211666
grippers_graphplan/p1-4-7-2.pl,18,278,1.364667313
grippers_graphplan/p1-4-8-1.pl,18,192,1.116383265
grippers_graphplan/p1-4-8-2.pl,18,241,1.316879696
grippers_graphplan/p1-5-5-1.pl,11,29,0.140018378
grippers_graphplan/p1-5-5-2.pl,13,78,0.38512766
grippers_graphplan/p1-5-6-1.pl,20,1365,10.350199679
grippers_graphplan/p1-5-6-2.pl,11,45,0.257029069
grippers_graphplan/p1-5-7-1.pl,16,79,0.513801316
grippers_graphplan/p1-5-7-2.pl,22,1396,8.659809051
grippers_graphplan/p1-5-8-1.pl,22,2115,16.192407612
grippers_graphplan/p1-5-8-2.pl,22,1800,14.462402017
grippers_graphplan/p2-2-5-1.pl,4,5,0.046046674
grippers_graphplan/p2-2-5-2.pl,8,9,0.052529002
grippers_graphplan/p2-2-6-1.pl,8,9,0.058621135
grippers_graphplan/p2-2-6-2.pl,9,84,0.498262029
grippers_graphplan/p2-2-7-1.pl,11,210,1.081545236
grippers_graphplan/p2-2-7-2.pl,11,321,1.667644627
grippers_graphplan/p2-2-8-2.pl,10,11,0.084131025
grippers_graphplan/p2-3-5-1.pl,6,7,0.060785694
grippers_graphplan/p2-3-5-2.pl,11,56,0.311166911
grippers_graphplan/p2-3-6-1.pl,12,41,0.324267026
grippers_graphplan/p2-3-6-2.pl,9,24,0.202311941
grippers_graphplan/p2-3-7-1.pl,11,12,0.128133579
grippers_graphplan/p2-3-7-2.pl,13,104,1.408683562
grippers_graphplan/p2-3-8-1.pl,16,317,3.896345965
grippers_graphplan/p2-3-8-2.pl,13,34,0.425366969
grippers_graphplan/p2-4-5-1.pl,9,10,0.101008457
