Problem File,Number of Steps,States Visited,
barman_graphplan/p1-02-1-1.pl,11,59,3.378560192
barman_graphplan/p1-02-1-2.pl,11,59,3.379393309
barman_graphplan/p1-02-1-3.pl,11,59,3.461008074
barman_graphplan/p1-02-1-4.pl,11,59,3.435487733
barman_graphplan/p1-02-1-5.pl,11,59,3.463677316
barman_graphplan/p1-02-2-1.pl,10,85,5.158921434
barman_graphplan/p1-02-2-2.pl,10,85,5.182951122
barman_graphplan/p1-02-2-3.pl,10,85,5.154597432
barman_graphplan/p1-02-2-4.pl,10,85,5.146963118
barman_graphplan/p1-02-2-5.pl,10,85,5.084154697
barman_graphplan/p1-03-1-1.pl,11,35,3.747838053
barman_graphplan/p1-03-1-2.pl,11,103,8.655160821
barman_graphplan/p1-03-1-3.pl,11,103,8.928427272
barman_graphplan/p1-03-1-4.pl,11,103,8.648227829
barman_graphplan/p1-03-1-5.pl,11,103,8.615075034
barman_graphplan/p1-03-2-1.pl,10,65,5.664602025
barman_graphplan/p1-03-2-2.pl,10,41,4.408902181
barman_graphplan/p1-03-2-3.pl,10,65,5.593254219
barman_graphplan/p1-03-2-4.pl,10,17,1.47984924
barman_graphplan/p1-03-2-5.pl,10,17,1.42160861
barman_graphplan/p1-04-1-1.pl,11,39,5.26425338
barman_graphplan/p1-04-1-2.pl,11,43,4.812019067
barman_graphplan/p1-04-1-3.pl,11,117,10.957013771
barman_graphplan/p1-04-1-4.pl,11,122,11.325803234
barman_graphplan/p1-04-1-5.pl,11,117,11.140231979
barman_graphplan/p1-04-2-1.pl,10,41,5.852288236
barman_graphplan/p1-04-2-2.pl,10,17,1.87592123
barman_graphplan/p1-04-2-3.pl,10,17,1.843772936
barman_graphplan/p1-04-2-4.pl,10,43,5.865341459
barman_graphplan/p1-04-2-5.pl,10,17,1.896305538
barman_graphplan/p1-05-1-1.pl,11,37,5.246823692
barman_graphplan/p1-05-1-2.pl,11,65,7.967826059
barman_graphplan/p1-05-1-3.pl,11,33,4.641600815
barman_graphplan/p1-05-1-4.pl,11,87,9.825161182
barman_graphplan/p1-05-1-5.pl,11,165,15.974987199
barman_graphplan/p1-05-2-1.pl,10,53,8.559270451
barman_graphplan/p1-05-2-2.pl,10,41,8.11495822
barman_graphplan/p1-05-2-3.pl,10,17,2.393610191
barman_graphplan/p1-05-2-4.pl,10,17,2.394148909
barman_graphplan/p1-05-2-5.pl,10,17,2.400215646
barman_graphplan/p1-06-1-1.pl,11,33,5.347863394
barman_graphplan/p1-06-1-2.pl,11,33,5.357202327
barman_graphplan/p1-06-1-3.pl,11,133,15.325313689
barman_graphplan/p1-06-1-4.pl,11,33,5.301369417
barman_graphplan/p1-06-1-5.pl,11,85,10.463917436
barman_graphplan/p1-06-2-1.pl,10,51,11.436616857
barman_graphplan/p1-06-2-2.pl,10,17,2.982088747
barman_graphplan/p1-06-2-3.pl,10,17,3.07344194
barman_graphplan/p1-06-2-4.pl,10,17,2.986809163
barman_graphplan/p1-06-2-5.pl,10,17,3.017929881
barman_graphplan/p1-07-1-1.pl,11,33,6.018020774
