Problem File,Number of Steps,States Visited,
childsnack_graphplan/p1-1-01.pl,4,5,0.029238455
childsnack_graphplan/p1-1-02.pl,4,5,0.028967154
childsnack_graphplan/p1-1-03.pl,4,5,0.029126219
childsnack_graphplan/p1-1-04.pl,4,5,0.028966091
childsnack_graphplan/p1-1-05.pl,4,5,0.028917461
childsnack_graphplan/p1-1-06.pl,4,5,0.02893398
childsnack_graphplan/p1-1-07.pl,4,5,0.029032431
childsnack_graphplan/p1-1-08.pl,4,5,0.028886721
childsnack_graphplan/p1-1-09.pl,4,5,0.029104249
childsnack_graphplan/p1-1-10.pl,4,5,0.029008705
childsnack_graphplan/p1-2-01.pl,4,5,0.033346289
childsnack_graphplan/p1-2-02.pl,4,5,0.03323956
childsnack_graphplan/p1-2-03.pl,4,5,0.033272145
childsnack_graphplan/p1-2-04.pl,4,5,0.033261808
childsnack_graphplan/p1-2-05.pl,4,5,0.03347453
childsnack_graphplan/p1-2-06.pl,4,5,0.033351626
childsnack_graphplan/p1-2-07.pl,4,5,0.033183408
childsnack_graphplan/p1-2-08.pl,4,5,0.033167544
childsnack_graphplan/p1-2-09.pl,4,5,0.03323445
childsnack_graphplan/p1-2-10.pl,4,5,0.033293285
childsnack_graphplan/p1-3-01.pl,4,5,0.039117806
childsnack_graphplan/p1-3-02.pl,4,5,0.039155276
childsnack_graphplan/p1-3-03.pl,4,5,0.039072722
childsnack_graphplan/p1-3-04.pl,4,5,0.039034142
childsnack_graphplan/p1-3-05.pl,4,5,0.039061722
childsnack_graphplan/p1-3-06.pl,4,5,0.039119417
childsnack_graphplan/p1-3-07.pl,4,5,0.039080505
childsnack_graphplan/p1-3-08.pl,4,5,0.038939195
childsnack_graphplan/p1-3-09.pl,4,5,0.039290797
childsnack_graphplan/p1-3-10.pl,4,5,0.039203037
childsnack_graphplan/p1-4-01.pl,4,5,0.04735172
childsnack_graphplan/p1-4-02.pl,4,5,0.047254197
childsnack_graphplan/p1-4-03.pl,4,5,0.047588818
childsnack_graphplan/p1-4-04.pl,4,5,0.04754719
childsnack_graphplan/p1-4-05.pl,4,5,0.047301183
childsnack_graphplan/p1-4-06.pl,4,5,0.047215029
childsnack_graphplan/p1-4-07.pl,4,5,0.047262015
childsnack_graphplan/p1-4-08.pl,4,5,0.047558798
childsnack_graphplan/p1-4-09.pl,4,5,0.047330544
childsnack_graphplan/p1-4-10.pl,4,5,0.047648273
childsnack_graphplan/p1-5-01.pl,4,5,0.058819551
childsnack_graphplan/p1-5-02.pl,4,5,0.058910475
childsnack_graphplan/p1-5-03.pl,4,5,0.057804468
childsnack_graphplan/p1-5-04.pl,4,5,0.057919824
childsnack_graphplan/p1-5-05.pl,4,5,0.058937942
childsnack_graphplan/p1-5-06.pl,4,5,0.058704489
childsnack_graphplan/p1-5-07.pl,4,5,0.058235954
childsnack_graphplan/p1-5-08.pl,4,5,0.058235861
childsnack_graphplan/p1-5-09.pl,4,5,0.05889093
childsnack_graphplan/p1-5-10.pl,4,5,0.058697748
childsnack_graphplan/p2-1-01.pl,8,260,0.64854368
childsnack_graphplan/p2-1-02.pl,8,260,0.65894093
childsnack_graphplan/p2-1-03.pl,8,260,0.658151692
childsnack_graphplan/p2-1-04.pl,8,250,0.610333002
childsnack_graphplan/p2-1-05.pl,8,260,0.650185245
childsnack_graphplan/p2-1-06.pl,8,250,0.610712725
childsnack_graphplan/p2-1-07.pl,8,260,0.656326994
childsnack_graphplan/p2-1-08.pl,8,260,0.646691422
childsnack_graphplan/p2-1-09.pl,8,260,0.653718838
childsnack_graphplan/p2-1-10.pl,8,260,0.656605329
childsnack_graphplan/p2-2-01.pl,8,1313,4.921606354
childsnack_graphplan/p2-2-02.pl,7,1093,4.400867306
childsnack_graphplan/p2-2-03.pl,8,1294,4.410945483
childsnack_graphplan/p2-2-04.pl,8,1294,5.155597486
childsnack_graphplan/p2-2-05.pl,8,1294,5.162319418
childsnack_graphplan/p2-2-06.pl,8,1313,5.470925765
childsnack_graphplan/p2-2-07.pl,8,1321,4.993367094
childsnack_graphplan/p2-2-08.pl,8,1294,5.164788624
childsnack_graphplan/p2-2-09.pl,8,1294,4.404971192
childsnack_graphplan/p2-2-10.pl,7,782,2.410022209
childsnack_graphplan/p2-3-01.pl,7,2243,14.253284894
childsnack_graphplan/p2-3-02.pl,7,2487,21.030873143
childsnack_graphplan/p2-3-03.pl,8,2642,18.371925219
childsnack_graphplan/p2-3-04.pl,8,2824,21.256355345
childsnack_graphplan/p2-3-05.pl,8,2642,18.421696151
childsnack_graphplan/p2-3-06.pl,8,2824,21.12391956
childsnack_graphplan/p2-3-07.pl,8,2850,17.254221142
childsnack_graphplan/p2-3-08.pl,7,2038,14.203395379
childsnack_graphplan/p2-3-09.pl,8,2642,14.742538706
childsnack_graphplan/p2-3-10.pl,7,2243,14.23394166
childsnack_graphplan/p2-4-01.pl,,,
childsnack_graphplan/p2-4-02.pl,,,
childsnack_graphplan/p2-4-03.pl,,,
childsnack_graphplan/p2-4-04.pl,,,
childsnack_graphplan/p2-4-05.pl,,,
childsnack_graphplan/p2-4-06.pl,,,
childsnack_graphplan/p2-4-07.pl,,,
childsnack_graphplan/p2-4-08.pl,,,
childsnack_graphplan/p2-4-09.pl,,,
childsnack_graphplan/p2-4-10.pl,,,
childsnack_graphplan/p2-5-01.pl,,,
childsnack_graphplan/p2-5-02.pl,,,
childsnack_graphplan/p2-5-03.pl,,,
childsnack_graphplan/p2-5-04.pl,,,
childsnack_graphplan/p2-5-05.pl,,,
childsnack_graphplan/p2-5-06.pl,,,
childsnack_graphplan/p2-5-07.pl,,,
childsnack_graphplan/p2-5-08.pl,,,
childsnack_graphplan/p2-5-09.pl,,,
childsnack_graphplan/p2-5-10.pl,,,
