Problem File,Number of Steps,States Visited,
freecell_graphplan/p1-4-4-1.pl,5,6,0.503976024
freecell_graphplan/p1-4-4-2.pl,6,7,0.152856578
freecell_graphplan/p1-4-5-1.pl,6,7,0.399165583
freecell_graphplan/p1-4-5-2.pl,5,6,0.141559301
freecell_graphplan/p1-4-6-1.pl,5,6,0.153962776
freecell_graphplan/p1-4-6-2.pl,5,6,0.952896336
freecell_graphplan/p1-4-7-1.pl,5,6,0.154563003
freecell_graphplan/p1-4-7-2.pl,5,6,0.143226484
freecell_graphplan/p1-4-8-1.pl,5,6,0.957607216
freecell_graphplan/p1-4-8-2.pl,5,6,0.381607702
freecell_graphplan/p1-5-4-1.pl,5,6,1.197534659
freecell_graphplan/p1-5-4-2.pl,6,7,0.524688147
freecell_graphplan/p1-5-5-1.pl,6,7,1.345789411
freecell_graphplan/p1-5-5-2.pl,5,6,1.207191794
freecell_graphplan/p1-5-6-1.pl,5,6,2.670701006
freecell_graphplan/p1-5-6-2.pl,5,6,2.685133718
freecell_graphplan/p1-5-7-1.pl,6,7,18.291420705
freecell_graphplan/p1-5-7-2.pl,5,6,2.647374424
freecell_graphplan/p1-5-8-1.pl,5,6,2.744956406
freecell_graphplan/p1-5-8-2.pl,6,7,0.710613746
freecell_graphplan/p1-6-4-1.pl,8,9,67.832045217
freecell_graphplan/p1-6-4-2.pl,9,10,120.749146201
freecell_graphplan/p1-6-5-1.pl,7,8,177.718213268
freecell_graphplan/p1-6-5-2.pl,8,9,27.978548735
freecell_graphplan/p1-6-6-1.pl,7,8,71.076520325
freecell_graphplan/p1-6-6-2.pl,8,9,84.994040655
freecell_graphplan/p1-6-7-1.pl,7,8,149.59253915
freecell_graphplan/p1-6-8-1.pl,7,8,123.069801532
freecell_graphplan/p1-6-8-2.pl,8,9,683.226532965
freecell_graphplan/p1-7-5-1.pl,9,10,498.649264198
freecell_graphplan/p2-04-4-1.pl,12,13,11.105192145
freecell_graphplan/p2-04-4-2.pl,10,11,44.740045558
freecell_graphplan/p2-04-5-1.pl,10,11,161.728596672
freecell_graphplan/p2-04-5-2.pl,9,10,42.554514131
freecell_graphplan/p2-04-6-1.pl,10,11,91.42399791
freecell_graphplan/p2-04-6-2.pl,8,15,36.825957151
freecell_graphplan/p2-04-7-1.pl,10,11,117.788977145
freecell_graphplan/p2-04-7-2.pl,11,12,574.855296967
freecell_graphplan/p2-04-8-1.pl,11,22,71.538879149
freecell_graphplan/p2-04-8-2.pl,8,21,56.797184623
freecell_graphplan/p2-05-4-1.pl,11,12,21.409563183
freecell_graphplan/p2-05-4-2.pl,12,13,42.343009822
freecell_graphplan/p2-05-5-1.pl,12,13,524.269369332
