Problem File,Number of Steps,States Visited,
logistics_graphplan/p2-1-2-1-2-1.pl,5,6,0.034028121
logistics_graphplan/p2-1-3-1-2-1.pl,6,11,0.052336035
logistics_graphplan/p2-2-1-1-4-1.pl,4,5,0.046568667
logistics_graphplan/p2-2-2-1-2-1.pl,13,14,0.120452323
logistics_graphplan/p2-2-2-1-4-1.pl,13,45,0.531972351
logistics_graphplan/p2-2-3-1-2-1.pl,18,334,2.165471828
logistics_graphplan/p2-2-3-1-4-1.pl,17,334,6.367174833
logistics_graphplan/p2-2-4-1-2-1.pl,9,25,0.157446536
logistics_graphplan/p2-2-4-1-4-1.pl,13,516,5.197538218
logistics_graphplan/p2-3-1-1-2-1.pl,3,4,0.040023229
logistics_graphplan/p2-3-1-1-4-1.pl,3,4,0.069546898
logistics_graphplan/p2-3-2-1-2-1.pl,18,82,1.383986619
logistics_graphplan/p2-3-2-1-4-1.pl,11,12,0.376098708
logistics_graphplan/p2-3-2-1-6-1.pl,10,42,3.599571021
logistics_graphplan/p2-3-3-1-2-1.pl,18,286,5.046671737
logistics_graphplan/p2-3-3-1-4-1.pl,13,88,3.040261829
logistics_graphplan/p2-3-3-1-6-1.pl,15,321,28.229288224
logistics_graphplan/p2-3-4-1-2-1.pl,10,11,0.141681914
logistics_graphplan/p2-3-4-1-4-1.pl,12,224,5.959230297
logistics_graphplan/p3-1-1-1-3-1.pl,4,5,0.035778003
logistics_graphplan/p3-1-1-2-3-1.pl,4,8,0.053573697
logistics_graphplan/p3-1-2-1-3-1.pl,7,10,0.062183961
logistics_graphplan/p3-1-2-2-3-1.pl,6,14,0.104446482
logistics_graphplan/p3-1-3-1-3-1.pl,5,6,0.050837309
logistics_graphplan/p3-1-3-2-3-1.pl,5,6,0.063715682
logistics_graphplan/p3-1-4-1-3-1.pl,9,22,0.184732177
logistics_graphplan/p3-1-4-2-3-1.pl,8,14,0.170713402
logistics_graphplan/p3-2-1-1-3-1.pl,7,8,0.109699044
logistics_graphplan/p3-2-1-1-6-1.pl,10,19,1.108694698
logistics_graphplan/p3-2-1-2-3-1.pl,7,12,0.231904335
logistics_graphplan/p3-2-1-2-6-1.pl,10,21,1.494013584
logistics_graphplan/p3-2-2-1-3-1.pl,13,94,1.294886921
logistics_graphplan/p3-2-2-1-6-1.pl,14,179,7.079111553
logistics_graphplan/p3-2-2-2-3-1.pl,12,72,2.074127016
logistics_graphplan/p3-2-2-2-6-1.pl,13,40,3.707895458
logistics_graphplan/p3-2-3-1-3-1.pl,8,9,0.214272497
logistics_graphplan/p3-2-3-1-6-1.pl,13,376,12.90896419
logistics_graphplan/p3-2-3-2-3-1.pl,8,9,0.306193849
logistics_graphplan/p3-2-3-2-6-1.pl,13,510,24.018160048
logistics_graphplan/p3-2-4-1-3-1.pl,17,43,1.492139212
logistics_graphplan/p3-2-4-1-6-1.pl,12,124,7.133950513
logistics_graphplan/p3-2-4-2-3-1.pl,16,73,3.30179458
logistics_graphplan/p3-2-4-2-6-1.pl,12,18,1.854975631
logistics_graphplan/p3-3-1-1-3-1.pl,12,308,10.80130472
logistics_graphplan/p3-3-1-1-6-1.pl,12,134,27.310064578
logistics_graphplan/p3-3-1-1-9-1.pl,7,9,3.160018836
logistics_graphplan/p3-3-1-2-3-1.pl,12,166,9.517714169
logistics_graphplan/p3-3-1-2-6-1.pl,12,356,93.675526095
logistics_graphplan/p3-3-1-2-9-1.pl,6,7,2.233005971
logistics_graphplan/p3-3-2-1-3-1.pl,17,729,37.265856987
logistics_graphplan/p3-3-2-1-6-1.pl,15,287,47.252481689
logistics_graphplan/p3-3-2-1-9-1.pl,13,155,66.515640953
logistics_graphplan/p3-3-2-2-3-1.pl,16,285,24.282382549
logistics_graphplan/p3-3-2-2-6-1.pl,14,23,6.757451936
logistics_graphplan/p3-3-2-2-9-1.pl,12,74,39.046882997
logistics_graphplan/p3-3-3-1-3-1.pl,16,96,6.724315864
logistics_graphplan/p3-3-3-1-6-1.pl,12,594,89.467845902
logistics_graphplan/p3-3-3-1-9-1.pl,16,18,13.172280508
logistics_graphplan/p3-3-3-2-3-1.pl,16,63,6.554007612
logistics_graphplan/p3-3-3-2-6-1.pl,12,616,117.90948406
logistics_graphplan/p3-3-3-2-9-1.pl,16,18,15.750605994
logistics_graphplan/p3-3-4-1-6-1.pl,23,1008,341.444849716
logistics_graphplan/p3-3-4-1-9-1.pl,20,41,34.178184538
logistics_graphplan/p3-3-4-2-3-1.pl,24,333,56.267103144
logistics_graphplan/p3-3-4-2-9-1.pl,20,24,25.370480532
logistics_graphplan/p4-1-1-1-4-1.pl,4,5,0.049741777
logistics_graphplan/p4-1-1-2-4-1.pl,4,8,0.099493941
logistics_graphplan/p4-1-1-3-4-1.pl,3,4,0.070854167
logistics_graphplan/p4-1-2-1-4-1.pl,7,10,0.109397911
logistics_graphplan/p4-1-2-2-4-1.pl,7,24,0.34650057
logistics_graphplan/p4-1-2-3-4-1.pl,6,16,0.389436958
logistics_graphplan/p4-1-3-1-4-1.pl,4,6,0.082583548
logistics_graphplan/p4-1-3-2-4-1.pl,4,6,0.123819774
logistics_graphplan/p4-1-3-3-4-1.pl,4,8,0.238573279
logistics_graphplan/p4-1-4-1-4-1.pl,10,11,0.187556756
logistics_graphplan/p4-1-4-2-4-1.pl,9,22,0.490872493
logistics_graphplan/p4-1-4-3-4-1.pl,9,43,1.571146802
logistics_graphplan/p4-2-1-1-4-1.pl,10,11,0.587230281
logistics_graphplan/p4-2-1-1-8-1.pl,7,14,1.834735571
logistics_graphplan/p4-2-1-2-4-1.pl,10,27,2.394820386
logistics_graphplan/p4-2-1-2-8-1.pl,7,14,2.469813645
logistics_graphplan/p4-2-1-3-4-1.pl,9,10,1.151658449
logistics_graphplan/p4-2-1-3-8-1.pl,7,8,1.732322167
logistics_graphplan/p4-2-2-1-4-1.pl,14,558,19.723443601
logistics_graphplan/p4-2-2-1-8-1.pl,13,24,4.958933931
logistics_graphplan/p4-2-2-2-4-1.pl,14,942,63.151513865
logistics_graphplan/p4-2-2-2-8-1.pl,13,85,20.294833749
logistics_graphplan/p4-2-2-3-4-1.pl,13,494,53.539056857
logistics_graphplan/p4-2-2-3-8-1.pl,13,230,81.294757992
logistics_graphplan/p4-2-3-1-4-1.pl,15,264,17.476887374
logistics_graphplan/p4-2-3-1-8-1.pl,15,214,37.29645042
logistics_graphplan/p4-2-3-2-8-1.pl,15,115,26.058609914
logistics_graphplan/p4-2-3-3-8-1.pl,15,112,36.739030788
logistics_graphplan/p4-2-4-1-8-1.pl,17,18,6.167418181
logistics_graphplan/p4-2-4-2-8-1.pl,17,18,8.144453888
logistics_graphplan/p4-2-4-3-8-1.pl,17,50,31.145175061
logistics_graphplan/p4-3-1-1-4-1.pl,12,166,33.042682292
logistics_graphplan/p4-3-1-1-8-1.pl,8,30,18.14140929
logistics_graphplan/p4-3-1-2-12-1.pl,11,130,443.544560998
logistics_graphplan/p4-3-1-2-4-1.pl,12,474,117.354540707
logistics_graphplan/p4-3-1-2-8-1.pl,8,24,19.225960442
logistics_graphplan/p4-3-1-3-12-1.pl,11,90,402.785716679
logistics_graphplan/p4-3-1-3-4-1.pl,11,136,44.841116474
logistics_graphplan/p4-3-1-3-8-1.pl,8,24,25.409396579
logistics_graphplan/p4-3-2-1-8-1.pl,9,23,12.772177438
logistics_graphplan/p4-3-2-2-8-1.pl,9,18,10.951930204
logistics_graphplan/p4-3-2-3-4-1.pl,16,358,167.945493616
logistics_graphplan/p4-3-2-3-8-1.pl,9,10,10.402343646
logistics_graphplan/p4-3-3-1-4-1.pl,15,82,10.477535402
logistics_graphplan/p4-3-3-1-8-1.pl,19,421,469.445363267
logistics_graphplan/p4-3-3-2-4-1.pl,15,150,28.956694345
logistics_graphplan/p4-3-3-2-8-1.pl,19,284,384.048449554
logistics_graphplan/p4-3-3-3-4-1.pl,15,264,71.248092254
logistics_graphplan/p4-3-4-1-4-1.pl,18,193,41.713537331
logistics_graphplan/p4-3-4-1-8-1.pl,16,201,118.418614542
logistics_graphplan/p4-3-4-2-4-1.pl,17,83,25.907283771
logistics_graphplan/p4-3-4-2-8-1.pl,16,319,295.817473819
logistics_graphplan/p4-3-4-3-4-1.pl,17,115,40.957123149
logistics_graphplan/p4-3-4-3-8-1.pl,16,171,272.493483862
