Problem File,Number of Steps,States Visited,
miconic_graphplan/p11-06.pl,20,88,0.968289084
miconic_graphplan/p11-07.pl,23,88,1.050285675
miconic_graphplan/p11-08.pl,25,245,2.752327791
miconic_graphplan/p11-10.pl,29,509,6.395860357
miconic_graphplan/p12-06.pl,20,81,1.269814913
miconic_graphplan/p12-07.pl,23,90,1.499196405
miconic_graphplan/p12-08.pl,25,84,1.358110329
miconic_graphplan/p12-09.pl,27,143,2.202094052
miconic_graphplan/p13-06.pl,18,82,1.736091902
miconic_graphplan/p13-07.pl,23,155,3.213078207
miconic_graphplan/p13-08.pl,23,199,3.447322326
miconic_graphplan/p13-09.pl,27,96,2.004705113
miconic_graphplan/p13-10.pl,33,252,5.147068968
miconic_graphplan/p14-06.pl,21,89,2.643441991
miconic_graphplan/p14-07.pl,23,152,4.156200848
miconic_graphplan/p14-09.pl,27,152,4.082059682
miconic_graphplan/p14-10.pl,30,195,5.703165002
miconic_graphplan/p15-06.pl,19,64,2.159716351
miconic_graphplan/p15-07.pl,25,107,3.898509644
miconic_graphplan/p15-08.pl,26,239,8.926814556
miconic_graphplan/p15-09.pl,28,72,2.499560762
miconic_graphplan/p15-10.pl,29,159,5.300851683
miconic_graphplan/p16-06.pl,21,46,2.045754883
miconic_graphplan/p16-07.pl,22,177,7.073498082
miconic_graphplan/p16-08.pl,25,84,3.345446161
miconic_graphplan/p16-10.pl,32,149,7.120241185
miconic_graphplan/p17-06.pl,22,74,3.874885809
miconic_graphplan/p17-07.pl,25,102,5.532868378
miconic_graphplan/p17-08.pl,27,694,27.012640034
miconic_graphplan/p17-09.pl,30,100,5.948200213
miconic_graphplan/p17-10.pl,33,102,5.637643787
miconic_graphplan/p18-06.pl,20,57,4.063115942
miconic_graphplan/p18-07.pl,24,226,16.592471826
miconic_graphplan/p18-08.pl,26,155,9.820263724
miconic_graphplan/p18-09.pl,29,263,18.297614434
miconic_graphplan/p18-10.pl,33,192,13.24718698
miconic_graphplan/p19-06.pl,19,60,4.691486912
miconic_graphplan/p19-07.pl,25,76,6.472519578
miconic_graphplan/p19-08.pl,28,104,9.740441628
miconic_graphplan/p19-09.pl,30,260,21.380046732
miconic_graphplan/p19-10.pl,33,116,10.652593326
miconic_graphplan/p20-06.pl,20,99,10.195801981
miconic_graphplan/p20-07.pl,25,144,16.521390724
miconic_graphplan/p20-08.pl,25,166,16.686470213
miconic_graphplan/p20-09.pl,30,201,21.873050459
miconic_graphplan/p20-10.pl,33,135,14.651276789
miconic_graphplan/p21-06.pl,21,74,9.47213608
miconic_graphplan/p21-07.pl,25,106,14.683377178
miconic_graphplan/p21-08.pl,27,112,14.30789379
miconic_graphplan/p21-09.pl,29,115,15.187437935
miconic_graphplan/p21-10.pl,33,202,25.020634891
miconic_graphplan/p22-06.pl,20,50,7.558119963
miconic_graphplan/p22-07.pl,26,46,8.270908352
miconic_graphplan/p22-08.pl,27,74,13.490313016
miconic_graphplan/p23-06.pl,22,46,10.087961074
miconic_graphplan/p23-07.pl,24,94,17.622211243
miconic_graphplan/p23-08.pl,29,174,38.275468535
miconic_graphplan/p23-09.pl,31,130,26.086184245
miconic_graphplan/p23-10.pl,31,290,53.036634073
miconic_graphplan/p24-06.pl,22,34,8.502263666
miconic_graphplan/p24-07.pl,26,60,15.037577858
miconic_graphplan/p24-08.pl,28,94,23.96474814
miconic_graphplan/p24-09.pl,32,212,46.546751287
miconic_graphplan/p24-10.pl,34,182,41.813210786
miconic_graphplan/p25-06.pl,21,74,20.918903307
miconic_graphplan/p25-07.pl,23,52,16.257087465
miconic_graphplan/p25-08.pl,30,124,35.065080739
miconic_graphplan/p25-09.pl,33,104,30.753620186
miconic_graphplan/p25-10.pl,35,220,72.103762445
miconic_graphplan/p26-06.pl,22,93,31.419245967
miconic_graphplan/p26-07.pl,26,99,36.853135123
miconic_graphplan/p26-08.pl,27,141,47.647875625
miconic_graphplan/p26-09.pl,30,277,107.267384854
miconic_graphplan/p26-10.pl,37,180,65.535834275
miconic_graphplan/p27-06.pl,22,34,14.663673031
miconic_graphplan/p27-07.pl,25,127,53.91635061
miconic_graphplan/p27-08.pl,30,92,36.550032135
miconic_graphplan/p27-10.pl,34,242,94.319876919
miconic_graphplan/p28-06.pl,23,70,33.322316987
miconic_graphplan/p28-07.pl,25,98,44.843001974
miconic_graphplan/p28-08.pl,29,120,57.449330008
miconic_graphplan/p28-09.pl,32,126,65.678649818
miconic_graphplan/p28-10.pl,36,180,92.607749934
miconic_graphplan/p29-06.pl,22,68,36.898757637
miconic_graphplan/p29-07.pl,26,86,48.683132075
miconic_graphplan/p29-08.pl,28,84,48.087654167
miconic_graphplan/p29-09.pl,32,140,79.140889897
miconic_graphplan/p29-10.pl,34,120,67.106353297
miconic_graphplan/p30-06.pl,23,108,66.118612354
miconic_graphplan/p30-07.pl,27,68,48.568421208
miconic_graphplan/p30-08.pl,29,196,130.43975554
miconic_graphplan/p30-09.pl,31,122,77.466970539
miconic_graphplan/p30-10.pl,34,170,112.817615289
