Problem File,Number of Steps,States Visited,
blocksworld_graphplan/p08-01.pl,8,16,0.919026402
blocksworld_graphplan/p08-02.pl,9,10,1.939780448
blocksworld_graphplan/p08-03.pl,12,113,5.827022937
blocksworld_graphplan/p08-04.pl,3,5,0.068313652
blocksworld_graphplan/p08-05.pl,10,27,2.309165024
blocksworld_graphplan/p08-06.pl,14,16,5.326071927
blocksworld_graphplan/p08-07.pl,11,22,3.002061304
blocksworld_graphplan/p08-08.pl,9,10,0.995534768
blocksworld_graphplan/p08-09.pl,9,10,3.314078553
blocksworld_graphplan/p08-10.pl,12,57,6.942895691
blocksworld_graphplan/p08-11.pl,10,56,3.878854077
blocksworld_graphplan/p08-12.pl,11,12,4.593471338
blocksworld_graphplan/p08-13.pl,10,11,1.188911281
blocksworld_graphplan/p08-14.pl,8,9,0.215916635
blocksworld_graphplan/p08-15.pl,9,30,2.789144562
blocksworld_graphplan/p08-16.pl,9,10,4.350097487
blocksworld_graphplan/p08-17.pl,9,10,0.914628579
blocksworld_graphplan/p08-18.pl,9,14,1.073026776
blocksworld_graphplan/p08-19.pl,9,12,3.993079037
blocksworld_graphplan/p08-20.pl,8,9,0.449799692
blocksworld_graphplan/p08-21.pl,7,8,0.338493441
blocksworld_graphplan/p08-22.pl,7,8,0.268081271
blocksworld_graphplan/p08-23.pl,10,53,7.040205046
blocksworld_graphplan/p08-24.pl,9,11,0.869839016
blocksworld_graphplan/p08-25.pl,13,108,24.76386936
blocksworld_graphplan/p09-01.pl,9,14,6.766831568
blocksworld_graphplan/p09-02.pl,14,42,10.728958784
blocksworld_graphplan/p09-03.pl,10,16,4.276747615
blocksworld_graphplan/p09-04.pl,12,41,32.222669626
blocksworld_graphplan/p09-05.pl,12,13,3.460458314
blocksworld_graphplan/p09-06.pl,10,18,12.733513736
blocksworld_graphplan/p09-07.pl,12,39,13.367707362
blocksworld_graphplan/p09-08.pl,10,52,5.134312427
blocksworld_graphplan/p09-09.pl,11,12,6.483680898
blocksworld_graphplan/p09-10.pl,10,12,18.838403894
blocksworld_graphplan/p09-11.pl,,,
blocksworld_graphplan/p09-12.pl,10,11,4.270061566
blocksworld_graphplan/p09-13.pl,5,6,0.56177696
blocksworld_graphplan/p09-14.pl,9,10,1.663294641
blocksworld_graphplan/p09-15.pl,13,733,183.081977437
blocksworld_graphplan/p09-16.pl,11,12,2.597151203
blocksworld_graphplan/p09-17.pl,11,20,1.571608153
blocksworld_graphplan/p09-18.pl,11,15,5.604345286
blocksworld_graphplan/p09-19.pl,12,15,4.438834763
blocksworld_graphplan/p09-20.pl,13,70,74.567385216
blocksworld_graphplan/p09-21.pl,13,34,13.895586345
blocksworld_graphplan/p09-22.pl,14,16,8.116182024
blocksworld_graphplan/p09-23.pl,11,94,28.142083004
blocksworld_graphplan/p09-24.pl,10,55,49.029662
blocksworld_graphplan/p09-25.pl,10,19,1.853283958
blocksworld_graphplan/p10-01.pl,11,15,430.861216377
blocksworld_graphplan/p10-02.pl,13,49,200.365414008
blocksworld_graphplan/p10-03.pl,11,94,44.061598672
blocksworld_graphplan/p10-04.pl,8,9,2.598386207
blocksworld_graphplan/p10-05.pl,14,17,547.40844113
blocksworld_graphplan/p10-06.pl,13,35,16.585849278
blocksworld_graphplan/p10-07.pl,14,157,93.922041034
blocksworld_graphplan/p10-08.pl,14,81,461.508221439
blocksworld_graphplan/p10-09.pl,14,74,18.458309971
blocksworld_graphplan/p10-10.pl,15,16,484.371316196
blocksworld_graphplan/p10-11.pl,11,12,4.695646642
blocksworld_graphplan/p10-12.pl,13,14,100.04883648
blocksworld_graphplan/p10-13.pl,9,10,7.916069024
blocksworld_graphplan/p10-14.pl,13,246,270.26068163
blocksworld_graphplan/p10-15.pl,15,89,134.132580567
blocksworld_graphplan/p10-16.pl,15,17,116.525864833
blocksworld_graphplan/p10-17.pl,9,10,2.815992692
blocksworld_graphplan/p10-18.pl,16,21,79.842309592
blocksworld_graphplan/p10-19.pl,13,19,67.672721986
blocksworld_graphplan/p10-20.pl,15,341,855.486698253
blocksworld_graphplan/p10-21.pl,9,10,1.525706007
blocksworld_graphplan/p10-22.pl,12,13,16.017538841
blocksworld_graphplan/p10-23.pl,12,13,38.732124407
blocksworld_graphplan/p10-24.pl,14,26,218.784145748
blocksworld_graphplan/p10-25.pl,10,125,42.044257961
blocksworld_graphplan/p11-01.pl,16,29,55.591748847
blocksworld_graphplan/p11-02.pl,13,15,12.88533843
blocksworld_graphplan/p11-03.pl,13,28,63.322520686
blocksworld_graphplan/p11-04.pl,12,13,18.239875539
blocksworld_graphplan/p11-05.pl,11,16,10.305969196
blocksworld_graphplan/p11-06.pl,14,18,31.698095871
blocksworld_graphplan/p11-07.pl,15,16,114.221113313
blocksworld_graphplan/p11-08.pl,14,15,437.066202301
blocksworld_graphplan/p11-09.pl,17,129,42.368868849
blocksworld_graphplan/p11-11.pl,15,25,149.870962307
blocksworld_graphplan/p11-12.pl,12,14,14.890513776
blocksworld_graphplan/p11-13.pl,15,368,521.203512358
blocksworld_graphplan/p11-15.pl,14,186,93.140718834
blocksworld_graphplan/p11-16.pl,,,
blocksworld_graphplan/p11-17.pl,13,32,84.265732088
blocksworld_graphplan/p11-18.pl,16,19,34.753922327
blocksworld_graphplan/p11-19.pl,,,
blocksworld_graphplan/p11-21.pl,12,13,11.894112103
blocksworld_graphplan/p11-22.pl,14,536,184.235054418
blocksworld_graphplan/p11-24.pl,,,
