Problem File,Number of Steps,States Visited,
childsnack_graphplan/p1-1-01.pl,4,5,0.027946312
childsnack_graphplan/p1-1-02.pl,4,5,0.028288472
childsnack_graphplan/p1-1-03.pl,4,5,0.02823084
childsnack_graphplan/p1-1-04.pl,4,5,0.028038032
childsnack_graphplan/p1-1-05.pl,4,5,0.028178179
childsnack_graphplan/p1-1-06.pl,4,5,0.028039348
childsnack_graphplan/p1-1-07.pl,4,5,0.027951869
childsnack_graphplan/p1-1-08.pl,4,5,0.028056663
childsnack_graphplan/p1-1-09.pl,4,5,0.02818163
childsnack_graphplan/p1-1-10.pl,4,5,0.028008536
childsnack_graphplan/p1-2-01.pl,4,5,0.032187342
childsnack_graphplan/p1-2-02.pl,4,5,0.032391838
childsnack_graphplan/p1-2-03.pl,4,5,0.032256625
childsnack_graphplan/p1-2-04.pl,4,5,0.032084779
childsnack_graphplan/p1-2-05.pl,4,5,0.032106985
childsnack_graphplan/p1-2-06.pl,4,5,0.032123107
childsnack_graphplan/p1-2-07.pl,4,5,0.03201951
childsnack_graphplan/p1-2-08.pl,4,5,0.032442792
childsnack_graphplan/p1-2-09.pl,4,5,0.032244189
childsnack_graphplan/p1-2-10.pl,4,5,0.032278787
childsnack_graphplan/p1-3-01.pl,4,5,0.03797015
childsnack_graphplan/p1-3-02.pl,4,5,0.037956716
childsnack_graphplan/p1-3-03.pl,4,5,0.038260672
childsnack_graphplan/p1-3-04.pl,4,5,0.038050892
childsnack_graphplan/p1-3-05.pl,4,5,0.037797057
childsnack_graphplan/p1-3-06.pl,4,5,0.038146396
childsnack_graphplan/p1-3-07.pl,4,5,0.037822476
childsnack_graphplan/p1-3-08.pl,4,5,0.038178894
childsnack_graphplan/p1-3-09.pl,4,5,0.037864334
childsnack_graphplan/p1-3-10.pl,4,5,0.03829261
childsnack_graphplan/p1-4-01.pl,4,5,0.045818037
childsnack_graphplan/p1-4-02.pl,4,5,0.045667865
childsnack_graphplan/p1-4-03.pl,4,5,0.045487247
childsnack_graphplan/p1-4-04.pl,4,5,0.045231064
childsnack_graphplan/p1-4-05.pl,4,5,0.045690443
childsnack_graphplan/p1-4-06.pl,4,5,0.045862132
childsnack_graphplan/p1-4-07.pl,4,5,0.046005139
childsnack_graphplan/p1-4-08.pl,4,5,0.046002915
childsnack_graphplan/p1-4-09.pl,4,5,0.045591168
childsnack_graphplan/p1-4-10.pl,4,5,0.045390827
childsnack_graphplan/p1-5-01.pl,4,5,0.056699705
childsnack_graphplan/p1-5-02.pl,4,5,0.056614948
childsnack_graphplan/p1-5-03.pl,4,5,0.056731588
childsnack_graphplan/p1-5-04.pl,4,5,0.056323603
childsnack_graphplan/p1-5-05.pl,4,5,0.05700617
childsnack_graphplan/p1-5-06.pl,4,5,0.056940447
childsnack_graphplan/p1-5-07.pl,4,5,0.057006078
childsnack_graphplan/p1-5-08.pl,4,5,0.056877971
childsnack_graphplan/p1-5-09.pl,4,5,0.056795508
childsnack_graphplan/p1-5-10.pl,4,5,0.056081683
childsnack_graphplan/p2-1-01.pl,8,421,0.416178499
childsnack_graphplan/p2-1-02.pl,8,411,0.408054444
childsnack_graphplan/p2-1-03.pl,8,411,0.409357261
childsnack_graphplan/p2-1-04.pl,8,412,0.410247726
childsnack_graphplan/p2-1-05.pl,8,421,0.41701351
childsnack_graphplan/p2-1-06.pl,8,412,0.409853934
childsnack_graphplan/p2-1-07.pl,8,411,0.408116453
childsnack_graphplan/p2-1-08.pl,8,421,0.416660713
childsnack_graphplan/p2-1-09.pl,8,411,0.410920895
childsnack_graphplan/p2-1-10.pl,8,421,0.416639913
childsnack_graphplan/p2-2-01.pl,8,1707,3.773182733
childsnack_graphplan/p2-2-02.pl,7,1224,2.608434059
childsnack_graphplan/p2-2-03.pl,8,1707,3.745698208
childsnack_graphplan/p2-2-04.pl,8,1707,3.771578687
childsnack_graphplan/p2-2-05.pl,8,1707,3.7789894
childsnack_graphplan/p2-2-06.pl,8,1707,3.763948735
childsnack_graphplan/p2-2-07.pl,8,1744,3.819697399
childsnack_graphplan/p2-2-08.pl,8,1707,3.753610978
childsnack_graphplan/p2-2-09.pl,8,1707,3.741343946
childsnack_graphplan/p2-2-10.pl,7,1259,2.701769959
childsnack_graphplan/p2-3-01.pl,7,2973,10.558150611
childsnack_graphplan/p2-3-02.pl,7,2727,9.785337336
childsnack_graphplan/p2-3-03.pl,8,3758,14.699257674
childsnack_graphplan/p2-3-04.pl,8,3772,14.883206439
childsnack_graphplan/p2-3-05.pl,8,3758,14.677353859
childsnack_graphplan/p2-3-06.pl,8,3772,14.789536471
childsnack_graphplan/p2-3-07.pl,8,3743,14.558580924
childsnack_graphplan/p2-3-08.pl,7,3816,13.232088753
childsnack_graphplan/p2-3-09.pl,8,3758,14.752243721
childsnack_graphplan/p2-3-10.pl,7,2973,10.567076427
childsnack_graphplan/p2-4-01.pl,8,6563,39.189739508
childsnack_graphplan/p2-4-02.pl,8,6551,40.019265007
childsnack_graphplan/p2-4-03.pl,7,4404,23.761269439
childsnack_graphplan/p2-4-04.pl,7,4404,23.845028061
childsnack_graphplan/p2-4-05.pl,7,4404,23.767126238
childsnack_graphplan/p2-4-06.pl,8,6558,39.664367042
childsnack_graphplan/p2-4-07.pl,8,6563,39.77801272
childsnack_graphplan/p2-4-08.pl,8,6551,40.074657581
childsnack_graphplan/p2-4-09.pl,8,6563,39.474745097
childsnack_graphplan/p2-4-10.pl,8,6558,39.585047015
childsnack_graphplan/p2-5-01.pl,8,10172,90.530406848
childsnack_graphplan/p2-5-02.pl,7,8382,61.578460874
childsnack_graphplan/p2-5-03.pl,7,7218,53.352392167
childsnack_graphplan/p2-5-04.pl,8,10146,89.764626506
childsnack_graphplan/p2-5-05.pl,7,9136,67.050599216
childsnack_graphplan/p2-5-06.pl,8,10172,90.148451276
childsnack_graphplan/p2-5-07.pl,8,10172,89.797454399
childsnack_graphplan/p2-5-08.pl,7,9136,66.631976826
childsnack_graphplan/p2-5-09.pl,8,10150,87.862536869
childsnack_graphplan/p2-5-10.pl,7,8382,61.069542229
