Problem File,Number of Steps,States Visited,
depot_graphplan/p1-1-1-2-2-1-2.pl,5,6,0.032224295
depot_graphplan/p1-1-1-2-2-2-1.pl,10,28,0.103415521
depot_graphplan/p1-1-1-2-2-3-1.pl,12,122,0.737899392
depot_graphplan/p1-1-1-2-2-3-2.pl,11,53,0.252039185
depot_graphplan/p1-1-2-2-2-2-1.pl,9,43,0.265555295
depot_graphplan/p1-1-2-2-2-2-2.pl,10,35,0.177996487
depot_graphplan/p1-1-2-2-2-3-1.pl,11,138,1.43014763
depot_graphplan/p1-1-2-2-2-3-2.pl,14,210,2.067882437
depot_graphplan/p1-1-3-2-2-1-1.pl,5,6,0.04509883
depot_graphplan/p1-1-3-2-2-2-1.pl,5,6,0.05671587
depot_graphplan/p1-1-3-2-2-3-1.pl,11,4865,53.624672682
depot_graphplan/p1-2-1-3-3-1-2.pl,5,6,0.03982463
depot_graphplan/p1-2-1-3-3-2-1.pl,6,10,0.058590364
depot_graphplan/p1-2-1-3-3-2-2.pl,6,7,0.051969033
depot_graphplan/p1-2-1-3-3-3-1.pl,12,208,2.124824647
depot_graphplan/p1-2-1-3-3-3-2.pl,11,60,0.457902596
depot_graphplan/p1-2-2-3-3-1-2.pl,5,6,0.052576674
depot_graphplan/p1-2-2-3-3-2-1.pl,6,7,0.065927821
depot_graphplan/p1-2-2-3-3-2-2.pl,5,6,0.063006497
depot_graphplan/p1-2-2-3-3-3-1.pl,10,22,0.285422709
depot_graphplan/p1-2-3-3-3-1-1.pl,5,6,0.070817888
depot_graphplan/p1-2-3-3-3-2-1.pl,10,23,0.428366824
depot_graphplan/p1-2-3-3-3-2-2.pl,11,17,0.319041467
depot_graphplan/p1-2-3-3-3-3-1.pl,11,121,3.597774752
depot_graphplan/p1-3-1-4-4-1-1.pl,5,6,0.045781252
depot_graphplan/p1-3-1-4-4-1-2.pl,6,7,0.050925505
depot_graphplan/p1-3-1-4-4-2-1.pl,6,7,0.063810725
depot_graphplan/p1-3-1-4-4-3-1.pl,16,4686,69.377355489
depot_graphplan/p1-3-1-4-4-3-2.pl,15,531,9.322139902
depot_graphplan/p1-3-2-4-4-1-1.pl,6,7,0.082433965
depot_graphplan/p1-3-2-4-4-1-2.pl,5,6,0.070072044
depot_graphplan/p1-3-2-4-4-2-2.pl,10,22,0.403164707
depot_graphplan/p1-3-2-4-4-3-2.pl,13,31,0.766883516
depot_graphplan/p1-3-3-4-4-1-1.pl,6,9,0.175627098
depot_graphplan/p1-3-3-4-4-1-2.pl,6,7,0.129843975
depot_graphplan/p1-3-3-4-4-2-2.pl,6,9,0.226293664
depot_graphplan/p2-1-1-3-3-1-1.pl,6,7,0.043149758
depot_graphplan/p2-1-1-3-3-1-2.pl,5,6,0.040060088
depot_graphplan/p2-1-1-3-3-2-1.pl,10,67,0.362774505
depot_graphplan/p2-1-1-3-3-2-2.pl,6,7,0.052075372
depot_graphplan/p2-1-1-3-3-3-1.pl,10,14,0.119180988
depot_graphplan/p2-1-1-3-3-3-2.pl,11,60,0.452738478
depot_graphplan/p2-1-2-3-3-1-2.pl,5,6,0.052554945
depot_graphplan/p2-1-2-3-3-2-1.pl,11,14,0.151098301
depot_graphplan/p2-1-2-3-3-2-2.pl,5,6,0.062682108
depot_graphplan/p2-1-3-3-3-1-1.pl,5,6,0.070787702
depot_graphplan/p2-1-3-3-3-2-1.pl,6,8,0.121784663
depot_graphplan/p2-1-3-3-3-2-2.pl,11,17,0.318416357
depot_graphplan/p2-1-3-3-3-3-1.pl,10,67,1.810900469
depot_graphplan/p2-2-1-4-4-1-1.pl,5,6,0.046045693
depot_graphplan/p2-2-1-4-4-1-2.pl,6,8,0.05582568
depot_graphplan/p2-2-1-4-4-2-1.pl,11,12,0.101854609
depot_graphplan/p2-2-1-4-4-3-1.pl,16,4691,71.145705752
depot_graphplan/p2-2-1-4-4-3-2.pl,15,797,14.036203296
depot_graphplan/p2-2-2-4-4-1-1.pl,6,8,0.093893689
depot_graphplan/p2-2-2-4-4-1-2.pl,5,6,0.071619869
depot_graphplan/p2-2-2-4-4-2-2.pl,10,39,0.747334252
depot_graphplan/p2-2-2-4-4-3-2.pl,13,40,1.213627748
depot_graphplan/p2-2-3-4-4-1-1.pl,6,11,0.22475578
depot_graphplan/p2-2-3-4-4-1-2.pl,6,7,0.1312116
depot_graphplan/p2-2-3-4-4-2-2.pl,6,7,0.16272818
depot_graphplan/p2-3-1-5-5-1-1.pl,6,7,0.064826958
depot_graphplan/p2-3-1-5-5-1-2.pl,6,7,0.064677658
depot_graphplan/p2-3-1-5-5-2-1.pl,11,12,0.138027304
depot_graphplan/p2-3-1-5-5-2-2.pl,12,184,2.610665656
depot_graphplan/p2-3-1-5-5-3-1.pl,17,21,0.355153719
depot_graphplan/p2-3-1-5-5-3-2.pl,16,120,2.526206382
depot_graphplan/p2-3-2-5-5-1-1.pl,6,7,0.118722588
depot_graphplan/p2-3-2-5-5-1-2.pl,6,7,0.118736126
depot_graphplan/p2-3-2-5-5-2-1.pl,12,86,2.651672886
depot_graphplan/p2-3-2-5-5-3-2.pl,15,37,2.038619427
depot_graphplan/p2-3-3-5-5-1-1.pl,5,6,0.163079913
depot_graphplan/p2-3-3-5-5-1-2.pl,6,8,0.24424602
depot_graphplan/p2-3-3-5-5-2-1.pl,11,12,0.517195423
depot_graphplan/p2-3-3-5-5-2-2.pl,6,8,0.305614377
depot_graphplan/p2-3-3-5-5-3-1.pl,11,12,0.721164279
