Problem File,Number of Steps,States Visited,
freecell_graphplan/p1-4-4-1.pl,5,6,0.498431635
freecell_graphplan/p1-4-4-2.pl,6,7,0.152525635
freecell_graphplan/p1-4-5-1.pl,6,7,0.399551688
freecell_graphplan/p1-4-5-2.pl,5,6,0.138415172
freecell_graphplan/p1-4-6-1.pl,5,6,0.151639768
freecell_graphplan/p1-4-6-2.pl,5,6,0.943042571
freecell_graphplan/p1-4-7-1.pl,5,6,0.152385856
freecell_graphplan/p1-4-7-2.pl,5,6,0.14007796
freecell_graphplan/p1-4-8-1.pl,5,6,0.955238973
freecell_graphplan/p1-4-8-2.pl,5,6,0.383100238
freecell_graphplan/p1-5-4-1.pl,5,6,1.216433435
freecell_graphplan/p1-5-4-2.pl,6,7,0.516307171
freecell_graphplan/p1-5-5-1.pl,6,7,1.327785338
freecell_graphplan/p1-5-5-2.pl,5,6,1.193170127
freecell_graphplan/p1-5-6-1.pl,5,6,2.690468533
freecell_graphplan/p1-5-6-2.pl,5,6,2.6833629
freecell_graphplan/p1-5-7-1.pl,6,7,18.366673663
freecell_graphplan/p1-5-7-2.pl,5,6,2.56244608
freecell_graphplan/p1-5-8-1.pl,5,6,2.665473656
freecell_graphplan/p1-5-8-2.pl,6,7,0.699114438
freecell_graphplan/p1-6-4-1.pl,8,9,67.420812934
freecell_graphplan/p1-6-4-2.pl,9,10,122.702256457
freecell_graphplan/p1-6-5-1.pl,7,8,178.360318857
freecell_graphplan/p1-6-5-2.pl,8,9,27.501918546
freecell_graphplan/p1-6-6-1.pl,7,8,70.539025793
freecell_graphplan/p1-6-6-2.pl,8,9,85.696355152
freecell_graphplan/p1-6-7-1.pl,7,8,145.364232752
freecell_graphplan/p1-6-8-1.pl,7,8,124.849885959
freecell_graphplan/p1-6-8-2.pl,8,9,686.522690769
freecell_graphplan/p1-7-5-1.pl,9,10,494.086548974
freecell_graphplan/p2-04-4-1.pl,12,13,11.148765813
freecell_graphplan/p2-04-4-2.pl,10,11,45.374418007
freecell_graphplan/p2-04-5-1.pl,10,11,160.623601315
freecell_graphplan/p2-04-5-2.pl,9,10,42.600600296
freecell_graphplan/p2-04-6-1.pl,10,11,93.411340497
freecell_graphplan/p2-04-6-2.pl,8,9,35.39979479
freecell_graphplan/p2-04-7-1.pl,10,11,119.546692406
freecell_graphplan/p2-04-7-2.pl,11,12,573.787155377
freecell_graphplan/p2-04-8-1.pl,12,13,45.18920594
freecell_graphplan/p2-04-8-2.pl,8,9,55.400700575
freecell_graphplan/p2-05-4-1.pl,11,12,21.494597541
freecell_graphplan/p2-05-4-2.pl,12,13,42.401652149
freecell_graphplan/p2-05-5-1.pl,12,13,519.944079746
freecell_graphplan/p2-05-5-2.pl,11,12,136.322767157
freecell_graphplan/p2-05-6-2.pl,12,13,447.660576699
freecell_graphplan/p3-2-4-1.pl,6,7,0.104443024
freecell_graphplan/p3-2-4-2.pl,7,8,0.087190179
freecell_graphplan/p3-2-4-3.pl,6,7,0.073319986
freecell_graphplan/p3-2-4-4.pl,7,8,0.203968737
freecell_graphplan/p3-2-5-1.pl,6,7,0.06592032
freecell_graphplan/p3-2-5-2.pl,6,7,0.101715726
freecell_graphplan/p3-2-5-3.pl,6,7,0.061329864
freecell_graphplan/p3-2-5-4.pl,7,8,0.195081865
freecell_graphplan/p3-2-6-1.pl,7,8,0.099048244
freecell_graphplan/p3-2-6-2.pl,7,8,1.345912061
freecell_graphplan/p3-2-6-3.pl,6,7,0.079086737
