Problem File,Number of Steps,States Visited,
grippers_graphplan/p1-2-5-1.pl,4,5,0.030940161
grippers_graphplan/p1-2-5-2.pl,8,10,0.038516685
grippers_graphplan/p1-2-6-1.pl,11,45,0.117373889
grippers_graphplan/p1-2-6-2.pl,6,7,0.034548353
grippers_graphplan/p1-2-7-1.pl,8,12,0.053412336
grippers_graphplan/p1-2-7-2.pl,14,457,1.159280348
grippers_graphplan/p1-2-8-1.pl,5,6,0.035856333
grippers_graphplan/p1-2-8-2.pl,12,439,1.357168675
grippers_graphplan/p1-3-5-1.pl,9,16,0.056976854
grippers_graphplan/p1-3-5-2.pl,12,63,0.166052186
grippers_graphplan/p1-3-6-1.pl,12,100,0.306411147
grippers_graphplan/p1-3-6-2.pl,13,117,0.375178588
grippers_graphplan/p1-3-7-1.pl,12,92,0.343738363
grippers_graphplan/p1-3-7-2.pl,18,5329,19.387758838
grippers_graphplan/p1-3-8-1.pl,17,694,3.103992033
grippers_graphplan/p1-3-8-2.pl,14,222,0.974472002
grippers_graphplan/p1-4-5-1.pl,10,22,0.091038953
grippers_graphplan/p1-4-5-2.pl,13,65,0.237455942
grippers_graphplan/p1-4-6-1.pl,19,2190,10.341225471
grippers_graphplan/p1-4-6-2.pl,13,77,0.328577566
grippers_graphplan/p1-4-7-1.pl,15,56,0.321211234
grippers_graphplan/p1-4-7-2.pl,18,317,1.758528625
grippers_graphplan/p1-4-8-1.pl,18,430,2.656567572
grippers_graphplan/p1-4-8-2.pl,18,707,4.451540296
grippers_graphplan/p1-5-5-1.pl,11,34,0.160874956
grippers_graphplan/p1-5-5-2.pl,13,32,0.168895824
grippers_graphplan/p1-5-6-1.pl,20,7480,48.314840292
grippers_graphplan/p1-5-6-2.pl,11,41,0.244954056
grippers_graphplan/p1-5-7-1.pl,16,111,0.794549408
grippers_graphplan/p1-5-7-2.pl,22,4907,38.798284447
grippers_graphplan/p1-5-8-1.pl,22,9669,86.214872038
grippers_graphplan/p1-5-8-2.pl,22,3557,32.105323355
grippers_graphplan/p2-2-5-1.pl,4,5,0.045594362
grippers_graphplan/p2-2-5-2.pl,8,9,0.051935832
grippers_graphplan/p2-2-6-1.pl,8,9,0.058464127
grippers_graphplan/p2-2-6-2.pl,9,109,0.976205691
grippers_graphplan/p2-2-7-1.pl,11,416,3.183201426
grippers_graphplan/p2-2-7-2.pl,11,800,7.182677901
grippers_graphplan/p2-2-8-2.pl,10,11,0.083444907
grippers_graphplan/p2-3-5-1.pl,6,7,0.058817931
grippers_graphplan/p2-3-5-2.pl,11,94,0.670865599
grippers_graphplan/p2-3-6-1.pl,12,33,0.30116047
grippers_graphplan/p2-3-6-2.pl,9,33,0.39200421
grippers_graphplan/p2-3-7-1.pl,11,12,0.127080892
grippers_graphplan/p2-3-7-2.pl,13,123,2.01600475
grippers_graphplan/p2-3-8-1.pl,16,494,7.322115335
grippers_graphplan/p2-3-8-2.pl,13,34,0.56896052
grippers_graphplan/p2-4-5-1.pl,9,10,0.098422835
grippers_graphplan/p2-4-5-2.pl,15,46,0.607192487
grippers_graphplan/p2-4-6-1.pl,18,233,3.654989532
grippers_graphplan/p2-4-6-2.pl,14,506,8.329450639
grippers_graphplan/p2-4-7-1.pl,13,543,9.831207397
grippers_graphplan/p2-4-7-2.pl,17,130,2.976053157
grippers_graphplan/p2-4-8-2.pl,18,61,1.517329085
grippers_graphplan/p2-5-5-1.pl,10,25,0.387059345
grippers_graphplan/p2-5-5-2.pl,15,21,0.361933558
grippers_graphplan/p2-5-6-1.pl,19,4218,117.742166748
grippers_graphplan/p2-5-6-2.pl,13,137,2.971042263
grippers_graphplan/p2-5-7-1.pl,13,73,1.711340115
grippers_graphplan/p2-5-7-2.pl,20,3487,120.413391506
grippers_graphplan/p2-5-8-1.pl,21,1739,62.454349357
grippers_graphplan/p3-3-5-1.pl,3,4,0.05079387
grippers_graphplan/p3-3-5-2.pl,11,35,0.595180193
grippers_graphplan/p3-3-6-1.pl,11,14,0.291404001
grippers_graphplan/p3-3-6-2.pl,12,5604,141.863977833
grippers_graphplan/p3-3-7-1.pl,14,15,0.221282229
grippers_graphplan/p3-3-7-2.pl,16,235,9.677947777
grippers_graphplan/p3-3-8-2.pl,16,5560,170.541250797
grippers_graphplan/p3-4-5-1.pl,10,109,3.104988095
grippers_graphplan/p3-4-5-2.pl,15,43,1.262007051
