Problem File,Number of Steps,States Visited,
logistics_graphplan/p2-1-2-1-2-1.pl,5,6,0.033099062
logistics_graphplan/p2-1-3-1-2-1.pl,6,7,0.041650514
logistics_graphplan/p2-2-1-1-4-1.pl,4,9,0.066341992
logistics_graphplan/p2-2-2-1-2-1.pl,13,14,0.117207252
logistics_graphplan/p2-2-2-1-4-1.pl,13,80,1.043936505
logistics_graphplan/p2-2-3-1-2-1.pl,18,4788,50.03643934
logistics_graphplan/p2-2-3-1-4-1.pl,17,960,35.733235465
logistics_graphplan/p2-2-4-1-2-1.pl,9,22,0.153399528
logistics_graphplan/p2-2-4-1-4-1.pl,13,4959,86.531623216
logistics_graphplan/p2-3-1-1-2-1.pl,3,4,0.039997298
logistics_graphplan/p2-3-1-1-4-1.pl,3,4,0.066203685
logistics_graphplan/p2-3-2-1-2-1.pl,18,73,1.095247654
logistics_graphplan/p2-3-2-1-4-1.pl,11,12,0.366985245
logistics_graphplan/p2-3-2-1-6-1.pl,10,37,3.077328542
logistics_graphplan/p2-3-3-1-2-1.pl,18,1593,43.461874413
logistics_graphplan/p2-3-3-1-4-1.pl,13,88,3.546936733
logistics_graphplan/p2-3-3-1-6-1.pl,15,717,96.839062259
logistics_graphplan/p2-3-4-1-2-1.pl,10,11,0.150224877
logistics_graphplan/p2-3-4-1-4-1.pl,12,1094,46.42355689
logistics_graphplan/p3-1-1-1-3-1.pl,4,5,0.03450363
logistics_graphplan/p3-1-1-2-3-1.pl,4,5,0.040574831
logistics_graphplan/p3-1-2-1-3-1.pl,7,10,0.060347727
logistics_graphplan/p3-1-2-2-3-1.pl,6,7,0.063276852
logistics_graphplan/p3-1-3-1-3-1.pl,5,6,0.049071509
logistics_graphplan/p3-1-3-2-3-1.pl,5,6,0.062439054
logistics_graphplan/p3-1-4-1-3-1.pl,9,12,0.106043243
logistics_graphplan/p3-1-4-2-3-1.pl,8,9,0.11337533
logistics_graphplan/p3-2-1-1-3-1.pl,7,8,0.105745139
logistics_graphplan/p3-2-1-1-6-1.pl,10,14,0.743152211
logistics_graphplan/p3-2-1-2-3-1.pl,7,12,0.223736844
logistics_graphplan/p3-2-1-2-6-1.pl,10,14,0.908335244
logistics_graphplan/p3-2-2-1-3-1.pl,13,222,5.2356109
logistics_graphplan/p3-2-2-1-6-1.pl,14,567,31.200459385
logistics_graphplan/p3-2-2-2-3-1.pl,12,223,8.04029969
logistics_graphplan/p3-2-2-2-6-1.pl,13,47,4.403066669
logistics_graphplan/p3-2-3-1-3-1.pl,8,9,0.208291912
logistics_graphplan/p3-2-3-1-6-1.pl,13,1991,107.212617051
logistics_graphplan/p3-2-3-2-3-1.pl,8,9,0.301553487
logistics_graphplan/p3-2-3-2-6-1.pl,13,2377,175.57538561
logistics_graphplan/p3-2-4-1-3-1.pl,17,44,1.941475038
logistics_graphplan/p3-2-4-1-6-1.pl,12,31,2.247649546
logistics_graphplan/p3-2-4-2-3-1.pl,16,44,3.479559034
logistics_graphplan/p3-2-4-2-6-1.pl,12,18,1.845903731
logistics_graphplan/p3-3-1-1-3-1.pl,12,368,24.670640781
logistics_graphplan/p3-3-1-1-6-1.pl,12,116,33.917337624
logistics_graphplan/p3-3-1-1-9-1.pl,7,8,2.523029477
logistics_graphplan/p3-3-1-2-3-1.pl,12,197,18.240559993
logistics_graphplan/p3-3-1-2-6-1.pl,12,132,49.428809298
logistics_graphplan/p3-3-1-2-9-1.pl,6,7,2.204662845
logistics_graphplan/p3-3-2-1-3-1.pl,17,4359,347.846835719
