Problem File,Number of Steps,States Visited,
miconic_graphplan/p11-06.pl,20,28,0.365354417
miconic_graphplan/p11-07.pl,23,38,0.525383393
miconic_graphplan/p11-08.pl,25,242,3.71039965
miconic_graphplan/p11-10.pl,29,256,4.213653833
miconic_graphplan/p12-06.pl,20,34,0.554935534
miconic_graphplan/p12-07.pl,23,77,1.42396262
miconic_graphplan/p12-08.pl,25,32,0.579200306
miconic_graphplan/p12-09.pl,27,66,1.327433192
miconic_graphplan/p13-06.pl,18,21,0.451375195
miconic_graphplan/p13-07.pl,23,31,0.707664751
miconic_graphplan/p13-08.pl,23,64,1.650769894
miconic_graphplan/p13-09.pl,27,67,1.736884261
miconic_graphplan/p13-10.pl,33,162,4.577892598
miconic_graphplan/p14-06.pl,21,88,2.603120381
miconic_graphplan/p14-07.pl,23,56,1.708518819
miconic_graphplan/p14-09.pl,27,46,1.49173383
miconic_graphplan/p14-10.pl,30,73,2.420836776
miconic_graphplan/p15-06.pl,19,27,0.973501197
miconic_graphplan/p15-07.pl,25,40,1.515788805
miconic_graphplan/p15-08.pl,26,42,1.636461573
miconic_graphplan/p15-09.pl,28,38,1.527143442
miconic_graphplan/p15-10.pl,29,80,3.6569974
miconic_graphplan/p16-06.pl,21,29,1.299462111
miconic_graphplan/p16-07.pl,22,35,1.65550567
miconic_graphplan/p16-08.pl,25,32,1.52190194
miconic_graphplan/p16-10.pl,32,50,2.718417796
miconic_graphplan/p17-06.pl,22,35,2.050548979
miconic_graphplan/p17-07.pl,25,73,4.816154533
miconic_graphplan/p17-08.pl,27,2077,148.019959236
miconic_graphplan/p17-09.pl,30,49,3.27083235
miconic_graphplan/p17-10.pl,33,46,3.028588405
miconic_graphplan/p18-06.pl,20,48,3.549027119
miconic_graphplan/p18-07.pl,24,37,2.931529306
miconic_graphplan/p18-08.pl,26,57,4.781627373
miconic_graphplan/p18-09.pl,29,79,6.580713423
miconic_graphplan/p18-10.pl,33,53,4.450183939
miconic_graphplan/p19-06.pl,19,30,2.799011215
miconic_graphplan/p19-07.pl,25,33,3.266395756
miconic_graphplan/p19-08.pl,28,40,4.10175832
miconic_graphplan/p19-09.pl,30,74,7.844833168
miconic_graphplan/p19-10.pl,33,70,7.471095084
miconic_graphplan/p20-06.pl,20,26,2.858842736
miconic_graphplan/p20-07.pl,25,46,5.653458159
miconic_graphplan/p20-08.pl,25,93,12.218908035
miconic_graphplan/p20-09.pl,30,48,6.135109538
miconic_graphplan/p20-10.pl,33,73,9.28707168
miconic_graphplan/p21-06.pl,21,27,3.972957609
miconic_graphplan/p21-07.pl,25,42,6.450014757
miconic_graphplan/p21-08.pl,27,37,5.575866154
miconic_graphplan/p21-09.pl,29,52,8.094943084
miconic_graphplan/p21-10.pl,33,49,7.756721553
miconic_graphplan/p22-06.pl,20,30,5.337092908
miconic_graphplan/p22-07.pl,26,40,7.054336623
miconic_graphplan/p22-08.pl,27,35,6.51472452
miconic_graphplan/p23-06.pl,22,33,7.009477247
miconic_graphplan/p23-07.pl,24,34,7.289501767
miconic_graphplan/p23-08.pl,29,55,12.755634398
miconic_graphplan/p23-09.pl,31,50,11.520932128
miconic_graphplan/p23-10.pl,31,110,27.194102075
miconic_graphplan/p24-06.pl,22,31,7.800246234
miconic_graphplan/p24-07.pl,26,80,22.235480161
miconic_graphplan/p24-08.pl,28,79,22.511260208
miconic_graphplan/p24-09.pl,32,64,18.003759948
miconic_graphplan/p24-10.pl,34,59,16.858893048
miconic_graphplan/p25-06.pl,21,34,10.711622172
miconic_graphplan/p25-07.pl,23,34,10.595957156
miconic_graphplan/p25-08.pl,30,36,11.583389481
miconic_graphplan/p25-09.pl,33,47,16.010452506
miconic_graphplan/p25-10.pl,35,55,18.41193932
miconic_graphplan/p26-06.pl,22,30,11.159174739
miconic_graphplan/p26-07.pl,26,39,15.22746133
miconic_graphplan/p26-08.pl,27,44,17.198240807
miconic_graphplan/p26-09.pl,30,43,16.545177689
miconic_graphplan/p26-10.pl,37,71,29.264009707
miconic_graphplan/p27-06.pl,22,28,12.300277774
miconic_graphplan/p27-07.pl,25,71,32.135751722
miconic_graphplan/p27-08.pl,30,48,21.369712367
miconic_graphplan/p27-10.pl,34,52,23.540364531
miconic_graphplan/p28-06.pl,23,29,15.698473661
miconic_graphplan/p28-07.pl,25,29,13.732320226
miconic_graphplan/p28-08.pl,29,42,23.119955636
miconic_graphplan/p28-09.pl,32,43,24.359103558
miconic_graphplan/p28-10.pl,36,74,42.752593416
miconic_graphplan/p29-06.pl,22,39,25.230207283
miconic_graphplan/p29-07.pl,26,30,17.323885515
miconic_graphplan/p29-08.pl,28,32,19.802590317
miconic_graphplan/p29-09.pl,32,61,41.107588994
miconic_graphplan/p29-10.pl,34,49,32.625855953
miconic_graphplan/p30-06.pl,23,36,25.836904386
miconic_graphplan/p30-07.pl,27,43,32.391119415
miconic_graphplan/p30-08.pl,29,80,62.192837042
miconic_graphplan/p30-09.pl,31,154,124.425788171
miconic_graphplan/p30-10.pl,34,65,50.457258871
