Problem File,Number of Steps,States Visited,
blocksworld_graphplan/p08-01.pl,12,15,0.884794125
blocksworld_graphplan/p08-02.pl,9,10,1.933590403
blocksworld_graphplan/p08-03.pl,35,58,1.717886907
blocksworld_graphplan/p08-04.pl,4,5,0.065451294
blocksworld_graphplan/p08-05.pl,12,13,0.852583551
blocksworld_graphplan/p08-06.pl,35,134,11.158211614
blocksworld_graphplan/p08-07.pl,11,12,1.727158979
blocksworld_graphplan/p08-08.pl,9,10,0.964546475
blocksworld_graphplan/p08-09.pl,9,10,3.380081845
blocksworld_graphplan/p08-10.pl,19,22,1.408674599
blocksworld_graphplan/p08-11.pl,11,24,0.859449173
blocksworld_graphplan/p08-12.pl,11,12,4.578274113
blocksworld_graphplan/p08-13.pl,10,11,1.172066591
blocksworld_graphplan/p08-14.pl,8,9,0.215940685
blocksworld_graphplan/p08-15.pl,9,16,0.698525798
blocksworld_graphplan/p08-16.pl,9,10,4.286449423
blocksworld_graphplan/p08-17.pl,9,10,0.91989152
blocksworld_graphplan/p08-18.pl,9,15,1.029383135
blocksworld_graphplan/p08-19.pl,30,53,5.292060325
blocksworld_graphplan/p08-20.pl,8,9,0.452663233
blocksworld_graphplan/p08-21.pl,7,8,0.337557313
blocksworld_graphplan/p08-22.pl,7,8,0.264696425
blocksworld_graphplan/p08-23.pl,13,20,2.074467649
blocksworld_graphplan/p08-24.pl,11,13,1.004015587
blocksworld_graphplan/p08-25.pl,25,125,5.55089585
blocksworld_graphplan/p09-01.pl,9,10,3.170179894
blocksworld_graphplan/p09-02.pl,14,15,3.643647925
blocksworld_graphplan/p09-03.pl,13,30,6.694112959
blocksworld_graphplan/p09-04.pl,10,11,7.556938753
blocksworld_graphplan/p09-05.pl,12,13,3.523066539
blocksworld_graphplan/p09-06.pl,10,11,10.767451947
blocksworld_graphplan/p09-07.pl,15,22,6.775333199
blocksworld_graphplan/p09-08.pl,20,30,2.058407587
blocksworld_graphplan/p09-09.pl,11,12,6.535622932
blocksworld_graphplan/p09-10.pl,12,14,22.310981386
blocksworld_graphplan/p09-11.pl,47,129,12.588939975
blocksworld_graphplan/p09-12.pl,10,11,4.252080977
blocksworld_graphplan/p09-13.pl,5,6,0.555718866
blocksworld_graphplan/p09-14.pl,9,10,1.642093738
blocksworld_graphplan/p09-15.pl,16,17,42.299253497
blocksworld_graphplan/p09-16.pl,11,12,2.579408872
blocksworld_graphplan/p09-17.pl,17,19,1.0655367
blocksworld_graphplan/p09-18.pl,15,17,4.452561227
blocksworld_graphplan/p09-19.pl,19,21,3.4855695
blocksworld_graphplan/p09-20.pl,13,14,8.821445026
blocksworld_graphplan/p09-21.pl,17,19,8.169647114
blocksworld_graphplan/p09-22.pl,16,18,8.076166378
blocksworld_graphplan/p09-23.pl,45,106,11.943738074
blocksworld_graphplan/p09-24.pl,11,12,8.478197254
blocksworld_graphplan/p09-25.pl,41,104,4.91166892
blocksworld_graphplan/p10-01.pl,12,17,429.817767506
blocksworld_graphplan/p10-02.pl,20,25,17.322663983
blocksworld_graphplan/p10-03.pl,21,26,3.852313555
blocksworld_graphplan/p10-04.pl,8,9,2.622422491
blocksworld_graphplan/p10-05.pl,15,17,467.743538001
blocksworld_graphplan/p10-06.pl,26,49,22.389749517
blocksworld_graphplan/p10-07.pl,30,41,10.816022338
blocksworld_graphplan/p10-08.pl,17,19,128.880397507
blocksworld_graphplan/p10-09.pl,19,23,10.079007198
blocksworld_graphplan/p10-10.pl,15,16,484.906212295
blocksworld_graphplan/p10-11.pl,11,12,4.691283696
blocksworld_graphplan/p10-12.pl,13,14,100.322387148
blocksworld_graphplan/p10-13.pl,9,10,7.909698891
blocksworld_graphplan/p10-14.pl,17,20,19.716233604
blocksworld_graphplan/p10-15.pl,25,36,60.850405406
blocksworld_graphplan/p10-16.pl,17,19,117.809090361
blocksworld_graphplan/p10-17.pl,9,10,2.82330314
blocksworld_graphplan/p10-18.pl,18,19,71.702102683
blocksworld_graphplan/p10-19.pl,13,14,68.361386726
blocksworld_graphplan/p10-20.pl,74,603,613.789971184
blocksworld_graphplan/p10-21.pl,9,10,1.507575758
blocksworld_graphplan/p10-22.pl,12,13,15.582804522
blocksworld_graphplan/p10-23.pl,12,13,37.450396436
blocksworld_graphplan/p10-24.pl,21,23,215.213141462
blocksworld_graphplan/p10-25.pl,16,28,6.253920662
blocksworld_graphplan/p11-01.pl,30,44,42.733173927
blocksworld_graphplan/p11-02.pl,14,15,10.545398983
blocksworld_graphplan/p11-03.pl,14,15,20.536007799
blocksworld_graphplan/p11-04.pl,12,13,17.743513939
blocksworld_graphplan/p11-05.pl,17,20,10.22528018
blocksworld_graphplan/p11-06.pl,42,109,52.849165
blocksworld_graphplan/p11-07.pl,15,16,112.092251646
blocksworld_graphplan/p11-08.pl,14,15,424.196073699
blocksworld_graphplan/p11-09.pl,19,20,9.448192186
blocksworld_graphplan/p11-11.pl,19,21,88.578697529
blocksworld_graphplan/p11-12.pl,12,13,19.295754269
blocksworld_graphplan/p11-13.pl,40,70,115.455687553
blocksworld_graphplan/p11-15.pl,19,21,17.853972308
blocksworld_graphplan/p11-16.pl,,,
blocksworld_graphplan/p11-17.pl,18,19,42.01732321
blocksworld_graphplan/p11-18.pl,16,17,34.797049841
blocksworld_graphplan/p11-19.pl,28,46,115.002337641
blocksworld_graphplan/p11-21.pl,12,13,11.669324062
blocksworld_graphplan/p11-22.pl,32,47,12.120318721
blocksworld_graphplan/p11-24.pl,,,
