Problem File,Number of Steps,States Visited,
childsnack_graphplan/p1-1-01.pl,4,5,0.028281884
childsnack_graphplan/p1-1-02.pl,4,5,0.028600763
childsnack_graphplan/p1-1-03.pl,4,5,0.028575809
childsnack_graphplan/p1-1-04.pl,4,5,0.028346175
childsnack_graphplan/p1-1-05.pl,4,5,0.028274053
childsnack_graphplan/p1-1-06.pl,4,5,0.028526358
childsnack_graphplan/p1-1-07.pl,4,5,0.028297506
childsnack_graphplan/p1-1-08.pl,4,5,0.028639363
childsnack_graphplan/p1-1-09.pl,4,5,0.028349194
childsnack_graphplan/p1-1-10.pl,4,5,0.028280518
childsnack_graphplan/p1-2-01.pl,4,5,0.032550282
childsnack_graphplan/p1-2-02.pl,4,5,0.032759972
childsnack_graphplan/p1-2-03.pl,4,5,0.03241996
childsnack_graphplan/p1-2-04.pl,4,5,0.032575473
childsnack_graphplan/p1-2-05.pl,4,5,0.032409345
childsnack_graphplan/p1-2-06.pl,4,5,0.032466958
childsnack_graphplan/p1-2-07.pl,4,5,0.033967582
childsnack_graphplan/p1-2-08.pl,4,5,0.032319592
childsnack_graphplan/p1-2-09.pl,4,5,0.032624038
childsnack_graphplan/p1-2-10.pl,4,5,0.032662568
childsnack_graphplan/p1-3-01.pl,4,5,0.038234427
childsnack_graphplan/p1-3-02.pl,4,5,0.038298032
childsnack_graphplan/p1-3-03.pl,4,5,0.038198139
childsnack_graphplan/p1-3-04.pl,4,5,0.038265444
childsnack_graphplan/p1-3-05.pl,4,5,0.038194136
childsnack_graphplan/p1-3-06.pl,4,5,0.038047607
childsnack_graphplan/p1-3-07.pl,4,5,0.038160366
childsnack_graphplan/p1-3-08.pl,4,5,0.038048441
childsnack_graphplan/p1-3-09.pl,4,5,0.038419737
childsnack_graphplan/p1-3-10.pl,4,5,0.038340971
childsnack_graphplan/p1-4-01.pl,4,5,0.046102846
childsnack_graphplan/p1-4-02.pl,4,5,0.046315821
childsnack_graphplan/p1-4-03.pl,4,5,0.046176998
childsnack_graphplan/p1-4-04.pl,4,5,0.04606971
childsnack_graphplan/p1-4-05.pl,4,5,0.046032693
childsnack_graphplan/p1-4-06.pl,4,5,0.045981193
childsnack_graphplan/p1-4-07.pl,4,5,0.046334365
childsnack_graphplan/p1-4-08.pl,4,5,0.046034039
childsnack_graphplan/p1-4-09.pl,4,5,0.045670091
childsnack_graphplan/p1-4-10.pl,4,5,0.045819626
childsnack_graphplan/p1-5-01.pl,4,5,0.056975615
childsnack_graphplan/p1-5-02.pl,4,5,0.057043245
childsnack_graphplan/p1-5-03.pl,4,5,0.057165972
childsnack_graphplan/p1-5-04.pl,4,5,0.056985744
childsnack_graphplan/p1-5-05.pl,4,5,0.057180212
childsnack_graphplan/p1-5-06.pl,4,5,0.056895611
childsnack_graphplan/p1-5-07.pl,4,5,0.057146466
childsnack_graphplan/p1-5-08.pl,4,5,0.057323508
childsnack_graphplan/p1-5-09.pl,4,5,0.057561117
childsnack_graphplan/p1-5-10.pl,4,5,0.057157109
childsnack_graphplan/p2-1-01.pl,8,64,0.086222221
childsnack_graphplan/p2-1-02.pl,8,71,0.096597264
childsnack_graphplan/p2-1-03.pl,8,71,0.097305771
childsnack_graphplan/p2-1-04.pl,8,77,0.104213671
childsnack_graphplan/p2-1-05.pl,8,64,0.086024594
childsnack_graphplan/p2-1-06.pl,8,77,0.103689316
childsnack_graphplan/p2-1-07.pl,8,71,0.096983261
childsnack_graphplan/p2-1-08.pl,8,64,0.086244536
childsnack_graphplan/p2-1-09.pl,8,71,0.096430941
childsnack_graphplan/p2-1-10.pl,8,64,0.085926031
childsnack_graphplan/p2-2-01.pl,8,136,0.170192216
childsnack_graphplan/p2-2-02.pl,10,138,0.176422409
childsnack_graphplan/p2-2-03.pl,9,250,0.297417315
childsnack_graphplan/p2-2-04.pl,9,250,0.297861806
childsnack_graphplan/p2-2-05.pl,9,250,0.297729767
childsnack_graphplan/p2-2-06.pl,8,136,0.170709306
childsnack_graphplan/p2-2-07.pl,10,154,0.231781497
childsnack_graphplan/p2-2-08.pl,9,250,0.298561377
childsnack_graphplan/p2-2-09.pl,9,250,0.296537871
childsnack_graphplan/p2-2-10.pl,9,135,0.172281528
childsnack_graphplan/p2-3-01.pl,14,252,0.340551563
childsnack_graphplan/p2-3-02.pl,15,254,0.31846517
childsnack_graphplan/p2-3-03.pl,11,82,0.184631892
childsnack_graphplan/p2-3-04.pl,12,185,0.349460953
childsnack_graphplan/p2-3-05.pl,11,82,0.18629572
childsnack_graphplan/p2-3-06.pl,12,185,0.347883773
childsnack_graphplan/p2-3-07.pl,8,64,0.16095508
childsnack_graphplan/p2-3-08.pl,16,257,0.321293403
childsnack_graphplan/p2-3-09.pl,11,82,0.189707209
childsnack_graphplan/p2-3-10.pl,14,252,0.341160627
childsnack_graphplan/p2-4-01.pl,12,227,0.729939011
childsnack_graphplan/p2-4-02.pl,11,127,0.372905014
childsnack_graphplan/p2-4-03.pl,11,276,0.597060553
childsnack_graphplan/p2-4-04.pl,11,276,0.602552461
childsnack_graphplan/p2-4-05.pl,11,276,0.594253136
childsnack_graphplan/p2-4-06.pl,11,1092,3.481369172
childsnack_graphplan/p2-4-07.pl,12,227,0.731190462
childsnack_graphplan/p2-4-08.pl,11,127,0.379760907
childsnack_graphplan/p2-4-09.pl,12,227,0.732527604
childsnack_graphplan/p2-4-10.pl,11,1092,3.491365822
childsnack_graphplan/p2-5-01.pl,14,312,1.501284617
childsnack_graphplan/p2-5-02.pl,17,867,1.986610068
childsnack_graphplan/p2-5-03.pl,18,870,1.936929587
childsnack_graphplan/p2-5-04.pl,14,286,1.673118538
childsnack_graphplan/p2-5-05.pl,16,865,1.92380295
childsnack_graphplan/p2-5-06.pl,14,312,1.509203175
childsnack_graphplan/p2-5-07.pl,14,312,1.50819614
childsnack_graphplan/p2-5-08.pl,16,865,1.924653366
childsnack_graphplan/p2-5-09.pl,19,106,0.620667094
childsnack_graphplan/p2-5-10.pl,17,867,1.972532481
