Problem File,Number of Steps,States Visited,
depot_graphplan/p1-1-1-2-2-1-2.pl,5,6,0.033070457
depot_graphplan/p1-1-1-2-2-2-1.pl,12,21,0.073649616
depot_graphplan/p1-1-1-2-2-3-1.pl,12,26,0.128084092
depot_graphplan/p1-1-1-2-2-3-2.pl,11,12,0.070871029
depot_graphplan/p1-1-2-2-2-2-1.pl,10,16,0.09574502
depot_graphplan/p1-1-2-2-2-2-2.pl,10,11,0.073987425
depot_graphplan/p1-1-2-2-2-3-1.pl,21,54,0.410316259
depot_graphplan/p1-1-2-2-2-3-2.pl,18,20,0.168805062
depot_graphplan/p1-1-3-2-2-1-1.pl,5,6,0.045796809
depot_graphplan/p1-1-3-2-2-2-1.pl,5,6,0.05545397
depot_graphplan/p1-1-3-2-2-3-1.pl,,,
depot_graphplan/p1-2-1-3-3-1-2.pl,5,6,0.038804683
depot_graphplan/p1-2-1-3-3-2-1.pl,7,8,0.050822873
depot_graphplan/p1-2-1-3-3-2-2.pl,6,7,0.051440677
depot_graphplan/p1-2-1-3-3-3-1.pl,18,55,0.407596905
depot_graphplan/p1-2-1-3-3-3-2.pl,12,13,0.121086531
depot_graphplan/p1-2-2-3-3-1-2.pl,5,6,0.051872373
depot_graphplan/p1-2-2-3-3-2-1.pl,6,7,0.066646099
depot_graphplan/p1-2-2-3-3-2-2.pl,5,6,0.064001474
depot_graphplan/p1-2-2-3-3-3-1.pl,16,109,1.198696927
depot_graphplan/p1-2-3-3-3-1-1.pl,5,6,0.070220612
depot_graphplan/p1-2-3-3-3-2-1.pl,18,23,0.3625825
depot_graphplan/p1-2-3-3-3-2-2.pl,12,19,0.329957592
depot_graphplan/p1-2-3-3-3-3-1.pl,,,
depot_graphplan/p1-3-1-4-4-1-1.pl,5,6,0.047447225
depot_graphplan/p1-3-1-4-4-1-2.pl,6,7,0.052635727
depot_graphplan/p1-3-1-4-4-2-1.pl,6,7,0.065935996
depot_graphplan/p1-3-1-4-4-3-1.pl,28,58,0.620298064
depot_graphplan/p1-3-1-4-4-3-2.pl,35,65,0.816648148
depot_graphplan/p1-3-2-4-4-1-1.pl,6,7,0.083742507
depot_graphplan/p1-3-2-4-4-1-2.pl,5,6,0.071112848
depot_graphplan/p1-3-2-4-4-2-2.pl,12,14,0.219584628
depot_graphplan/p1-3-2-4-4-3-2.pl,15,17,0.452747278
depot_graphplan/p1-3-3-4-4-1-1.pl,7,8,0.152632881
depot_graphplan/p1-3-3-4-4-1-2.pl,6,7,0.131118614
depot_graphplan/p1-3-3-4-4-2-2.pl,8,10,0.229274702
depot_graphplan/p2-1-1-3-3-1-1.pl,6,7,0.04158141
depot_graphplan/p2-1-1-3-3-1-2.pl,5,6,0.039138548
depot_graphplan/p2-1-1-3-3-2-1.pl,10,88,0.346261685
depot_graphplan/p2-1-1-3-3-2-2.pl,6,7,0.051398649
depot_graphplan/p2-1-1-3-3-3-1.pl,11,19,0.150583045
depot_graphplan/p2-1-1-3-3-3-2.pl,12,13,0.123101597
depot_graphplan/p2-1-2-3-3-1-2.pl,5,6,0.051498802
depot_graphplan/p2-1-2-3-3-2-1.pl,11,14,0.14038459
depot_graphplan/p2-1-2-3-3-2-2.pl,5,6,0.063672779
depot_graphplan/p2-1-3-3-3-1-1.pl,5,6,0.069954019
depot_graphplan/p2-1-3-3-3-2-1.pl,9,11,0.154303734
depot_graphplan/p2-1-3-3-3-2-2.pl,12,19,0.322385689
depot_graphplan/p2-1-3-3-3-3-1.pl,21,35,0.714442321
depot_graphplan/p2-2-1-4-4-1-1.pl,5,6,0.046877409
depot_graphplan/p2-2-1-4-4-1-2.pl,7,8,0.057294417
depot_graphplan/p2-2-1-4-4-2-1.pl,11,12,0.103111389
depot_graphplan/p2-2-1-4-4-3-1.pl,21,24,0.289428066
depot_graphplan/p2-2-1-4-4-3-2.pl,20,42,0.491438694
depot_graphplan/p2-2-2-4-4-1-1.pl,7,8,0.095782709
depot_graphplan/p2-2-2-4-4-1-2.pl,5,6,0.071373645
depot_graphplan/p2-2-2-4-4-2-2.pl,16,21,0.301998316
depot_graphplan/p2-2-2-4-4-3-2.pl,26,71,1.882566539
depot_graphplan/p2-2-3-4-4-1-1.pl,8,10,0.182746489
depot_graphplan/p2-2-3-4-4-1-2.pl,6,7,0.131645372
depot_graphplan/p2-2-3-4-4-2-2.pl,6,7,0.164283671
depot_graphplan/p2-3-1-5-5-1-1.pl,6,7,0.065541637
depot_graphplan/p2-3-1-5-5-1-2.pl,6,7,0.066885893
depot_graphplan/p2-3-1-5-5-2-1.pl,11,12,0.139156998
depot_graphplan/p2-3-1-5-5-2-2.pl,15,72,0.587013163
depot_graphplan/p2-3-1-5-5-3-1.pl,19,20,0.359583954
depot_graphplan/p2-3-1-5-5-3-2.pl,24,28,0.491729333
depot_graphplan/p2-3-2-5-5-1-1.pl,6,7,0.119905309
depot_graphplan/p2-3-2-5-5-1-2.pl,6,7,0.119881621
depot_graphplan/p2-3-2-5-5-2-1.pl,16,20,0.464054992
depot_graphplan/p2-3-2-5-5-3-2.pl,31,42,1.478166746
depot_graphplan/p2-3-3-5-5-1-1.pl,5,6,0.16461811
depot_graphplan/p2-3-3-5-5-1-2.pl,7,8,0.24485975
depot_graphplan/p2-3-3-5-5-2-1.pl,11,12,0.512943729
depot_graphplan/p2-3-3-5-5-2-2.pl,7,8,0.308553595
depot_graphplan/p2-3-3-5-5-3-1.pl,11,12,0.72544055
