Problem File,Number of Steps,States Visited,
barman_graphplan/p1-02-1-1.pl,11,47,1.802020405
barman_graphplan/p1-02-1-2.pl,11,47,1.771424112
barman_graphplan/p1-02-1-3.pl,11,47,1.805806306
barman_graphplan/p1-02-1-4.pl,11,47,1.80585641
barman_graphplan/p1-02-1-5.pl,11,47,1.819523925
barman_graphplan/p1-02-2-1.pl,10,11,0.74171432
barman_graphplan/p1-02-2-2.pl,10,11,0.742957855
barman_graphplan/p1-02-2-3.pl,10,11,0.754183244
barman_graphplan/p1-02-2-4.pl,10,11,0.743633338
barman_graphplan/p1-02-2-5.pl,10,11,0.745255164
barman_graphplan/p1-03-1-1.pl,13,27,1.337149916
barman_graphplan/p1-03-1-2.pl,13,47,3.056045735
barman_graphplan/p1-03-1-3.pl,13,47,3.043222671
barman_graphplan/p1-03-1-4.pl,13,47,3.04333497
barman_graphplan/p1-03-1-5.pl,13,47,3.001390368
barman_graphplan/p1-03-2-1.pl,10,11,1.035989991
barman_graphplan/p1-03-2-2.pl,10,11,1.028160787
barman_graphplan/p1-03-2-3.pl,10,11,1.043691673
barman_graphplan/p1-03-2-4.pl,10,11,1.063598727
barman_graphplan/p1-03-2-5.pl,10,11,1.045411237
barman_graphplan/p1-04-1-1.pl,13,33,1.871753263
barman_graphplan/p1-04-1-2.pl,13,33,1.834057082
barman_graphplan/p1-04-1-3.pl,16,45,4.034328363
barman_graphplan/p1-04-1-4.pl,13,45,4.013673487
barman_graphplan/p1-04-1-5.pl,16,45,4.009687294
barman_graphplan/p1-04-2-1.pl,10,11,1.422249063
barman_graphplan/p1-04-2-2.pl,10,11,1.422356504
barman_graphplan/p1-04-2-3.pl,10,11,1.428916188
barman_graphplan/p1-04-2-4.pl,10,11,1.423168008
barman_graphplan/p1-04-2-5.pl,10,11,1.408125526
barman_graphplan/p1-05-1-1.pl,17,33,2.283594171
barman_graphplan/p1-05-1-2.pl,13,45,4.691382192
barman_graphplan/p1-05-1-3.pl,17,33,2.225505154
barman_graphplan/p1-05-1-4.pl,15,55,5.061576686
barman_graphplan/p1-05-1-5.pl,15,55,5.050361962
barman_graphplan/p1-05-2-1.pl,10,11,1.848168984
barman_graphplan/p1-05-2-2.pl,10,11,1.900915676
barman_graphplan/p1-05-2-3.pl,10,11,1.875410914
barman_graphplan/p1-05-2-4.pl,10,11,1.895470138
barman_graphplan/p1-05-2-5.pl,10,11,1.873528252
barman_graphplan/p1-06-1-1.pl,15,27,2.489095342
barman_graphplan/p1-06-1-2.pl,15,27,2.480517553
barman_graphplan/p1-06-1-3.pl,18,55,7.017137796
barman_graphplan/p1-06-1-4.pl,13,33,2.694745767
barman_graphplan/p1-06-1-5.pl,18,55,7.016472719
barman_graphplan/p1-06-2-1.pl,10,11,2.438999195
barman_graphplan/p1-06-2-2.pl,10,11,2.496040062
barman_graphplan/p1-06-2-3.pl,10,11,2.408340005
barman_graphplan/p1-06-2-4.pl,10,11,2.427306594
barman_graphplan/p1-06-2-5.pl,10,11,2.429685613
barman_graphplan/p1-07-1-1.pl,15,33,3.187194022
barman_graphplan/p1-07-1-2.pl,13,27,2.926518976
barman_graphplan/p1-07-1-3.pl,15,33,3.19634593
barman_graphplan/p1-07-1-4.pl,15,55,7.672136441
barman_graphplan/p1-07-1-5.pl,15,27,2.890172602
barman_graphplan/p1-07-2-1.pl,10,11,3.066700809
barman_graphplan/p1-07-2-2.pl,10,11,3.157174157
barman_graphplan/p1-07-2-3.pl,10,11,3.091751534
barman_graphplan/p1-07-2-4.pl,10,11,3.15161044
barman_graphplan/p1-07-2-5.pl,10,11,3.093829146
barman_graphplan/p1-08-1-1.pl,15,27,3.41099448
barman_graphplan/p1-08-1-2.pl,13,27,3.361202769
barman_graphplan/p1-08-1-3.pl,15,27,3.518953809
barman_graphplan/p1-08-1-4.pl,16,47,10.759211057
barman_graphplan/p1-08-1-5.pl,13,33,3.727457727
barman_graphplan/p1-08-2-1.pl,10,11,3.896831195
barman_graphplan/p1-08-2-2.pl,10,11,3.934267713
barman_graphplan/p1-08-2-3.pl,10,11,3.920823724
barman_graphplan/p1-08-2-4.pl,10,11,3.887665163
barman_graphplan/p1-08-2-5.pl,10,11,3.916603084
barman_graphplan/p1-09-1-1.pl,18,55,10.93042894
barman_graphplan/p1-09-1-2.pl,17,33,4.326781437
barman_graphplan/p1-09-1-3.pl,17,33,4.274125882
barman_graphplan/p1-09-1-4.pl,17,33,4.217497562
barman_graphplan/p1-09-1-5.pl,17,33,4.301999285
barman_graphplan/p1-09-2-1.pl,10,11,4.877274167
barman_graphplan/p1-09-2-2.pl,10,11,4.815358733
barman_graphplan/p1-09-2-3.pl,10,11,4.804053936
barman_graphplan/p1-09-2-4.pl,10,11,4.90799976
barman_graphplan/p1-09-2-5.pl,10,11,4.8834748
barman_graphplan/p1-10-1-1.pl,13,27,4.570436421
barman_graphplan/p1-10-1-2.pl,16,53,16.667181636
barman_graphplan/p1-10-1-3.pl,13,27,4.545717592
barman_graphplan/p1-10-1-4.pl,13,27,4.572312136
barman_graphplan/p1-10-1-5.pl,13,27,4.566666094
barman_graphplan/p1-10-2-1.pl,10,11,5.844356342
barman_graphplan/p1-10-2-2.pl,10,11,5.979257219
barman_graphplan/p1-10-2-3.pl,10,11,5.977049784
barman_graphplan/p1-10-2-4.pl,10,11,5.978287101
barman_graphplan/p1-10-2-5.pl,10,11,5.81873939
barman_graphplan/p1-11-1-1.pl,15,33,5.486040191
barman_graphplan/p1-11-1-2.pl,15,27,5.183984548
barman_graphplan/p1-11-1-3.pl,15,27,5.12841986
barman_graphplan/p1-11-1-4.pl,13,27,5.089010685
barman_graphplan/p1-11-1-5.pl,15,27,5.123028109
barman_graphplan/p1-11-2-1.pl,10,11,7.065976058
barman_graphplan/p1-11-2-2.pl,10,11,7.240510428
barman_graphplan/p1-11-2-3.pl,10,11,7.245108374
barman_graphplan/p1-11-2-4.pl,10,11,7.029247357
barman_graphplan/p1-11-2-5.pl,10,11,7.22527083
