Problem File,Number of Steps,States Visited,
freecell_graphplan/p1-4-4-1.pl,5,6,0.48890065
freecell_graphplan/p1-4-4-2.pl,6,7,0.154826049
freecell_graphplan/p1-4-5-1.pl,6,7,0.401400378
freecell_graphplan/p1-4-5-2.pl,5,6,0.142873299
freecell_graphplan/p1-4-6-1.pl,5,6,0.155668849
freecell_graphplan/p1-4-6-2.pl,5,6,0.946924961
freecell_graphplan/p1-4-7-1.pl,5,6,0.155474149
freecell_graphplan/p1-4-7-2.pl,5,6,0.142333795
freecell_graphplan/p1-4-8-1.pl,5,6,0.949364303
freecell_graphplan/p1-4-8-2.pl,5,6,0.389013411
freecell_graphplan/p1-5-4-1.pl,5,6,1.207794043
freecell_graphplan/p1-5-4-2.pl,6,7,0.52218222
freecell_graphplan/p1-5-5-1.pl,6,7,1.322601469
freecell_graphplan/p1-5-5-2.pl,5,6,1.213861937
freecell_graphplan/p1-5-6-1.pl,5,6,2.696977817
freecell_graphplan/p1-5-6-2.pl,5,6,2.726133999
freecell_graphplan/p1-5-7-1.pl,6,7,18.705036037
freecell_graphplan/p1-5-7-2.pl,5,6,2.55555979
freecell_graphplan/p1-5-8-1.pl,5,6,2.704772248
freecell_graphplan/p1-5-8-2.pl,6,7,0.705594329
freecell_graphplan/p1-6-4-1.pl,8,9,67.751693482
freecell_graphplan/p1-6-4-2.pl,9,10,120.408905098
freecell_graphplan/p1-6-5-1.pl,7,8,181.476580665
freecell_graphplan/p1-6-5-2.pl,8,9,28.064751241
freecell_graphplan/p1-6-6-1.pl,7,8,70.602080907
freecell_graphplan/p1-6-6-2.pl,8,9,86.079358762
freecell_graphplan/p1-6-7-1.pl,7,8,149.243741076
freecell_graphplan/p1-6-8-1.pl,7,8,123.102245653
freecell_graphplan/p1-6-8-2.pl,8,9,682.951572831
freecell_graphplan/p1-7-5-1.pl,9,10,497.896788231
freecell_graphplan/p2-04-4-1.pl,12,13,11.104998151
freecell_graphplan/p2-04-4-2.pl,10,11,44.642585739
freecell_graphplan/p2-04-5-1.pl,10,11,157.87014637
freecell_graphplan/p2-04-5-2.pl,9,10,42.489109988
freecell_graphplan/p2-04-6-1.pl,10,11,92.597087261
freecell_graphplan/p2-04-6-2.pl,8,11,36.600496226
freecell_graphplan/p2-04-7-1.pl,10,11,121.084961366
freecell_graphplan/p2-04-7-2.pl,11,12,566.206852428
freecell_graphplan/p2-04-8-1.pl,12,14,45.896287748
freecell_graphplan/p2-04-8-2.pl,8,11,55.989463249
freecell_graphplan/p2-05-4-1.pl,11,12,21.357816264
freecell_graphplan/p2-05-4-2.pl,12,13,42.700781871
freecell_graphplan/p2-05-5-1.pl,12,13,521.841168355
freecell_graphplan/p2-05-5-2.pl,11,12,138.022602095
freecell_graphplan/p2-05-6-2.pl,12,13,447.418287858
freecell_graphplan/p3-2-4-1.pl,6,7,0.10932982
freecell_graphplan/p3-2-4-2.pl,7,9,0.091690819
freecell_graphplan/p3-2-4-3.pl,6,7,0.0768261
freecell_graphplan/p3-2-4-4.pl,7,8,0.209396242
freecell_graphplan/p3-2-5-1.pl,6,7,0.07016154
freecell_graphplan/p3-2-5-2.pl,6,9,0.117961496
freecell_graphplan/p3-2-5-3.pl,6,9,0.07033978
freecell_graphplan/p3-2-5-4.pl,7,8,0.200197061
freecell_graphplan/p3-2-6-1.pl,7,8,0.103129664
freecell_graphplan/p3-2-6-2.pl,7,8,1.356627351
freecell_graphplan/p3-2-6-3.pl,7,8,0.092736259
freecell_graphplan/p3-2-6-4.pl,7,9,0.128729466
freecell_graphplan/p3-2-7-1.pl,6,9,0.091933359
freecell_graphplan/p3-2-7-2.pl,6,9,0.094250607
freecell_graphplan/p3-2-7-3.pl,6,11,0.1127285
freecell_graphplan/p3-2-7-4.pl,6,9,0.105995906
freecell_graphplan/p3-2-8-1.pl,6,9,0.084757159
freecell_graphplan/p3-2-8-2.pl,6,7,0.095028103
freecell_graphplan/p3-2-8-3.pl,6,9,0.082822689
freecell_graphplan/p3-2-8-4.pl,6,9,0.095186133
freecell_graphplan/p3-3-4-1.pl,11,12,9.737651516
freecell_graphplan/p3-3-4-2.pl,10,11,0.662438208
freecell_graphplan/p3-3-4-3.pl,12,13,15.382787586
freecell_graphplan/p3-3-4-4.pl,11,12,0.570600274
freecell_graphplan/p3-3-5-1.pl,13,14,128.203739581
