Problem File,Number of Steps,States Visited,
grippers_graphplan/p1-2-5-1.pl,4,6,0.033247527
grippers_graphplan/p1-2-5-2.pl,8,9,0.040241599
grippers_graphplan/p1-2-6-1.pl,11,12,0.052068403
grippers_graphplan/p1-2-6-2.pl,6,7,0.03586369
grippers_graphplan/p1-2-7-1.pl,8,10,0.046773907
grippers_graphplan/p1-2-7-2.pl,14,15,0.061165703
grippers_graphplan/p1-2-8-1.pl,5,6,0.039060266
grippers_graphplan/p1-2-8-2.pl,12,14,0.065088942
grippers_graphplan/p1-3-5-1.pl,12,14,0.054844288
grippers_graphplan/p1-3-5-2.pl,12,15,0.056422779
grippers_graphplan/p1-3-6-1.pl,13,15,0.064405577
grippers_graphplan/p1-3-6-2.pl,15,18,0.071199228
grippers_graphplan/p1-3-7-1.pl,14,16,0.07712598
grippers_graphplan/p1-3-7-2.pl,20,27,0.122184689
grippers_graphplan/p1-3-8-1.pl,20,24,0.124958728
grippers_graphplan/p1-3-8-2.pl,15,18,0.085521149
grippers_graphplan/p1-4-5-1.pl,10,12,0.063044752
grippers_graphplan/p1-4-5-2.pl,16,20,0.083462858
grippers_graphplan/p1-4-6-1.pl,22,32,0.164339565
grippers_graphplan/p1-4-6-2.pl,14,16,0.083223395
grippers_graphplan/p1-4-7-1.pl,19,24,0.127791836
grippers_graphplan/p1-4-7-2.pl,21,36,0.180629391
grippers_graphplan/p1-4-8-1.pl,20,26,0.162478557
grippers_graphplan/p1-4-8-2.pl,21,28,0.157295651
grippers_graphplan/p1-5-5-1.pl,14,20,0.096957979
grippers_graphplan/p1-5-5-2.pl,13,16,0.093439975
grippers_graphplan/p1-5-6-1.pl,23,46,0.282787018
grippers_graphplan/p1-5-6-2.pl,11,14,0.091220708
grippers_graphplan/p1-5-7-1.pl,18,21,0.154518406
grippers_graphplan/p1-5-7-2.pl,28,40,0.302297253
grippers_graphplan/p1-5-8-1.pl,26,40,0.325161045
grippers_graphplan/p1-5-8-2.pl,28,36,0.292541571
grippers_graphplan/p2-2-5-1.pl,5,6,0.050100878
grippers_graphplan/p2-2-5-2.pl,8,9,0.055164861
grippers_graphplan/p2-2-6-1.pl,8,9,0.06145633
grippers_graphplan/p2-2-6-2.pl,9,10,0.09123103
grippers_graphplan/p2-2-7-1.pl,11,15,0.113548352
grippers_graphplan/p2-2-7-2.pl,11,15,0.131906221
grippers_graphplan/p2-2-8-2.pl,10,11,0.087609313
grippers_graphplan/p2-3-5-1.pl,7,8,0.067337389
grippers_graphplan/p2-3-5-2.pl,11,12,0.109005058
grippers_graphplan/p2-3-6-1.pl,12,14,0.119640066
grippers_graphplan/p2-3-6-2.pl,9,10,0.116413196
grippers_graphplan/p2-3-7-1.pl,11,13,0.132690476
grippers_graphplan/p2-3-7-2.pl,13,14,0.189040625
grippers_graphplan/p2-3-8-1.pl,17,21,0.359764435
grippers_graphplan/p2-3-8-2.pl,13,15,0.192230336
grippers_graphplan/p2-4-5-1.pl,10,12,0.11519553
grippers_graphplan/p2-4-5-2.pl,21,42,0.476966066
grippers_graphplan/p2-4-6-1.pl,22,30,0.397627052
grippers_graphplan/p2-4-6-2.pl,15,20,0.290660745
grippers_graphplan/p2-4-7-1.pl,16,24,0.380489525
grippers_graphplan/p2-4-7-2.pl,19,22,0.36615646
grippers_graphplan/p2-4-8-2.pl,19,23,0.512402335
grippers_graphplan/p2-5-5-1.pl,13,18,0.285295598
grippers_graphplan/p2-5-5-2.pl,16,20,0.312500842
grippers_graphplan/p2-5-6-1.pl,23,36,0.773741339
grippers_graphplan/p2-5-6-2.pl,13,15,0.259206834
grippers_graphplan/p2-5-7-1.pl,15,17,0.356076481
grippers_graphplan/p2-5-7-2.pl,30,37,0.907753347
grippers_graphplan/p2-5-8-1.pl,30,42,1.325437528
grippers_graphplan/p3-3-5-1.pl,3,4,0.050308522
grippers_graphplan/p3-3-5-2.pl,12,13,0.181502302
grippers_graphplan/p3-3-6-1.pl,13,18,0.36837866
grippers_graphplan/p3-3-6-2.pl,12,14,0.281485402
grippers_graphplan/p3-3-7-1.pl,14,15,0.222771776
grippers_graphplan/p3-3-7-2.pl,18,23,0.532909865
grippers_graphplan/p3-3-8-2.pl,16,17,0.462608797
grippers_graphplan/p3-4-5-1.pl,14,16,0.390270254
grippers_graphplan/p3-4-5-2.pl,17,22,0.470181187
grippers_graphplan/p3-4-6-1.pl,25,28,0.736789875
grippers_graphplan/p3-4-6-2.pl,17,18,0.488934781
grippers_graphplan/p3-4-8-2.pl,23,32,1.678765201
grippers_graphplan/p3-5-5-1.pl,11,12,0.411313875
grippers_graphplan/p3-5-5-2.pl,15,17,0.495328221
