Problem File,Number of Steps,States Visited,
logistics_graphplan/p2-1-2-1-2-1.pl,5,6,0.034095204
logistics_graphplan/p2-1-3-1-2-1.pl,6,8,0.045491972
logistics_graphplan/p2-2-1-1-4-1.pl,4,5,0.047147565
logistics_graphplan/p2-2-2-1-2-1.pl,13,14,0.121407553
logistics_graphplan/p2-2-2-1-4-1.pl,22,43,0.489406761
logistics_graphplan/p2-2-3-1-2-1.pl,19,22,0.300553963
logistics_graphplan/p2-2-3-1-4-1.pl,22,48,1.221727028
logistics_graphplan/p2-2-4-1-2-1.pl,9,10,0.081202471
logistics_graphplan/p2-2-4-1-4-1.pl,27,40,0.528651691
logistics_graphplan/p2-3-1-1-2-1.pl,3,4,0.04189818
logistics_graphplan/p2-3-1-1-4-1.pl,3,4,0.068718012
logistics_graphplan/p2-3-2-1-2-1.pl,23,30,0.390102475
logistics_graphplan/p2-3-2-1-4-1.pl,11,12,0.373530851
logistics_graphplan/p2-3-2-1-6-1.pl,14,18,0.949424834
logistics_graphplan/p2-3-3-1-2-1.pl,19,20,0.506930049
logistics_graphplan/p2-3-3-1-4-1.pl,16,18,0.722072749
logistics_graphplan/p2-3-3-1-6-1.pl,15,16,1.399014505
logistics_graphplan/p2-3-4-1-2-1.pl,10,11,0.143035181
logistics_graphplan/p2-3-4-1-4-1.pl,13,14,0.486812989
logistics_graphplan/p3-1-1-1-3-1.pl,4,5,0.035791257
logistics_graphplan/p3-1-1-2-3-1.pl,5,6,0.046314833
logistics_graphplan/p3-1-2-1-3-1.pl,7,10,0.062415253
logistics_graphplan/p3-1-2-2-3-1.pl,7,8,0.070252618
logistics_graphplan/p3-1-3-1-3-1.pl,5,6,0.050638887
logistics_graphplan/p3-1-3-2-3-1.pl,5,6,0.063878916
logistics_graphplan/p3-1-4-1-3-1.pl,10,13,0.122117131
logistics_graphplan/p3-1-4-2-3-1.pl,9,10,0.122590017
logistics_graphplan/p3-2-1-1-3-1.pl,7,8,0.109551625
logistics_graphplan/p3-2-1-1-6-1.pl,10,11,0.532132387
logistics_graphplan/p3-2-1-2-3-1.pl,8,10,0.180186573
logistics_graphplan/p3-2-1-2-6-1.pl,10,11,0.667581665
logistics_graphplan/p3-2-2-1-3-1.pl,15,16,0.288451836
logistics_graphplan/p3-2-2-1-6-1.pl,18,20,1.135024595
logistics_graphplan/p3-2-2-2-3-1.pl,20,22,0.544212621
logistics_graphplan/p3-2-2-2-6-1.pl,18,20,1.627144828
logistics_graphplan/p3-2-3-1-3-1.pl,8,9,0.212763649
logistics_graphplan/p3-2-3-1-6-1.pl,15,16,0.817021
logistics_graphplan/p3-2-3-2-3-1.pl,8,9,0.306013132
logistics_graphplan/p3-2-3-2-6-1.pl,17,18,1.246268917
logistics_graphplan/p3-2-4-1-3-1.pl,26,54,1.181383845
logistics_graphplan/p3-2-4-1-6-1.pl,14,16,1.061354892
logistics_graphplan/p3-2-4-2-3-1.pl,17,18,1.288268279
logistics_graphplan/p3-2-4-2-6-1.pl,14,17,1.578602707
logistics_graphplan/p3-3-1-1-3-1.pl,14,16,0.827435182
logistics_graphplan/p3-3-1-1-6-1.pl,29,212,25.104672256
logistics_graphplan/p3-3-1-1-9-1.pl,11,12,3.836090302
logistics_graphplan/p3-3-1-2-3-1.pl,16,18,1.497086303
logistics_graphplan/p3-3-1-2-6-1.pl,26,202,22.191745451
logistics_graphplan/p3-3-1-2-9-1.pl,6,7,2.229951824
logistics_graphplan/p3-3-2-1-3-1.pl,21,34,2.040622151
logistics_graphplan/p3-3-2-1-6-1.pl,19,22,4.831309229
logistics_graphplan/p3-3-2-1-9-1.pl,13,14,5.441983749
logistics_graphplan/p3-3-2-2-3-1.pl,21,24,2.056871786
logistics_graphplan/p3-3-2-2-6-1.pl,19,22,5.955001294
logistics_graphplan/p3-3-2-2-9-1.pl,13,14,5.894637071
logistics_graphplan/p3-3-3-1-3-1.pl,18,22,1.518778682
logistics_graphplan/p3-3-3-1-6-1.pl,14,16,2.497572117
logistics_graphplan/p3-3-3-1-9-1.pl,20,21,15.858852112
logistics_graphplan/p3-3-3-2-3-1.pl,33,88,5.053036093
logistics_graphplan/p3-3-3-2-6-1.pl,14,22,4.663393649
logistics_graphplan/p3-3-3-2-9-1.pl,24,53,47.620886598
logistics_graphplan/p3-3-4-1-6-1.pl,28,130,28.032553842
logistics_graphplan/p3-3-4-1-9-1.pl,21,22,21.552045722
logistics_graphplan/p3-3-4-2-3-1.pl,38,257,17.413984771
logistics_graphplan/p3-3-4-2-9-1.pl,24,26,27.685397622
logistics_graphplan/p4-1-1-1-4-1.pl,4,5,0.050350439
logistics_graphplan/p4-1-1-2-4-1.pl,5,6,0.076460963
logistics_graphplan/p4-1-1-3-4-1.pl,3,4,0.071195999
logistics_graphplan/p4-1-2-1-4-1.pl,7,10,0.109386322
logistics_graphplan/p4-1-2-2-4-1.pl,8,10,0.164560998
logistics_graphplan/p4-1-2-3-4-1.pl,7,8,0.191724097
logistics_graphplan/p4-1-3-1-4-1.pl,5,6,0.083145079
logistics_graphplan/p4-1-3-2-4-1.pl,5,6,0.124234037
logistics_graphplan/p4-1-3-3-4-1.pl,5,6,0.17513204
logistics_graphplan/p4-1-4-1-4-1.pl,10,11,0.188399257
logistics_graphplan/p4-1-4-2-4-1.pl,10,12,0.340365778
