Problem File,Number of Steps,States Visited,
miconic_graphplan/p11-06.pl,23,28,0.292979236
miconic_graphplan/p11-07.pl,31,42,0.463039622
miconic_graphplan/p11-08.pl,32,44,0.52161933
miconic_graphplan/p11-10.pl,32,38,0.491142006
miconic_graphplan/p12-06.pl,24,28,0.398097672
miconic_graphplan/p12-07.pl,30,37,0.583813658
miconic_graphplan/p12-08.pl,40,56,0.809474947
miconic_graphplan/p12-09.pl,39,58,0.886044314
miconic_graphplan/p13-06.pl,18,20,0.411340707
miconic_graphplan/p13-07.pl,43,62,1.151128669
miconic_graphplan/p13-08.pl,30,39,0.797871674
miconic_graphplan/p13-09.pl,38,50,0.969881919
miconic_graphplan/p13-10.pl,40,46,1.070619827
miconic_graphplan/p14-06.pl,26,34,0.884340813
miconic_graphplan/p14-07.pl,33,42,1.112948446
miconic_graphplan/p14-09.pl,39,52,1.381578111
miconic_graphplan/p14-10.pl,45,74,2.020025668
miconic_graphplan/p15-06.pl,21,28,0.912627748
miconic_graphplan/p15-07.pl,32,38,1.329124655
miconic_graphplan/p15-08.pl,45,70,2.125701629
miconic_graphplan/p15-09.pl,32,42,1.511810497
miconic_graphplan/p15-10.pl,39,48,1.939494215
miconic_graphplan/p16-06.pl,27,34,1.369686492
miconic_graphplan/p16-07.pl,27,34,1.425528555
miconic_graphplan/p16-08.pl,31,40,1.540308912
miconic_graphplan/p16-10.pl,36,43,1.985641253
miconic_graphplan/p17-06.pl,26,30,1.525394074
miconic_graphplan/p17-07.pl,35,52,2.69861524
miconic_graphplan/p17-08.pl,35,52,2.455227637
miconic_graphplan/p17-09.pl,39,50,2.841947461
miconic_graphplan/p17-10.pl,40,50,2.808650559
miconic_graphplan/p18-06.pl,29,42,2.753724004
miconic_graphplan/p18-07.pl,33,42,2.877273069
miconic_graphplan/p18-08.pl,29,34,2.46203687
miconic_graphplan/p18-09.pl,43,74,4.569174285
miconic_graphplan/p18-10.pl,51,78,5.366402577
miconic_graphplan/p19-06.pl,19,34,2.919735418
miconic_graphplan/p19-07.pl,32,40,3.432109153
miconic_graphplan/p19-08.pl,41,58,4.978111765
miconic_graphplan/p19-09.pl,46,68,5.07810678
miconic_graphplan/p19-10.pl,37,44,3.896919327
miconic_graphplan/p20-06.pl,22,30,2.95394779
miconic_graphplan/p20-07.pl,34,46,4.991944869
miconic_graphplan/p20-08.pl,33,42,4.415371581
miconic_graphplan/p20-09.pl,43,60,5.659158277
miconic_graphplan/p20-10.pl,46,70,6.30031776
miconic_graphplan/p21-06.pl,25,34,4.319340005
miconic_graphplan/p21-07.pl,35,54,7.824485741
miconic_graphplan/p21-08.pl,43,56,7.138605365
miconic_graphplan/p21-09.pl,57,102,10.98961264
miconic_graphplan/p21-10.pl,49,72,8.582691503
miconic_graphplan/p22-06.pl,25,32,4.869001184
miconic_graphplan/p22-07.pl,31,44,6.967468071
miconic_graphplan/p22-08.pl,32,36,6.024642857
miconic_graphplan/p23-06.pl,26,30,5.969586245
miconic_graphplan/p23-07.pl,27,50,9.143324423
miconic_graphplan/p23-08.pl,41,56,10.180797112
miconic_graphplan/p23-09.pl,51,102,17.131794304
miconic_graphplan/p23-10.pl,40,50,10.339262144
miconic_graphplan/p24-06.pl,24,38,7.538993857
miconic_graphplan/p24-07.pl,38,58,13.901931003
miconic_graphplan/p24-08.pl,44,62,13.814703982
miconic_graphplan/p24-09.pl,53,92,19.949025312
miconic_graphplan/p24-10.pl,51,70,15.854320367
miconic_graphplan/p25-06.pl,26,32,8.386260484
miconic_graphplan/p25-07.pl,34,40,11.549240127
miconic_graphplan/p25-08.pl,36,44,12.307602969
miconic_graphplan/p25-09.pl,42,56,15.814271587
miconic_graphplan/p25-10.pl,50,80,23.779891091
miconic_graphplan/p26-06.pl,30,40,12.413807611
miconic_graphplan/p26-07.pl,50,70,22.519191808
miconic_graphplan/p26-08.pl,45,82,21.672919864
miconic_graphplan/p26-09.pl,37,44,16.619650231
miconic_graphplan/p26-10.pl,68,102,31.539599968
miconic_graphplan/p27-06.pl,25,34,11.743343486
miconic_graphplan/p27-07.pl,26,31,12.851722146
miconic_graphplan/p27-08.pl,47,84,30.757998542
miconic_graphplan/p27-10.pl,43,48,19.543083456
miconic_graphplan/p28-06.pl,34,54,23.810641898
miconic_graphplan/p28-07.pl,31,44,18.004901576
miconic_graphplan/p28-08.pl,44,62,27.94517462
miconic_graphplan/p28-09.pl,51,74,33.493195165
miconic_graphplan/p28-10.pl,52,90,41.210935656
miconic_graphplan/p29-06.pl,29,44,24.735008996
miconic_graphplan/p29-07.pl,30,36,19.45827333
miconic_graphplan/p29-08.pl,43,68,34.946303427
miconic_graphplan/p29-09.pl,42,56,31.38283953
miconic_graphplan/p29-10.pl,43,58,31.042085841
miconic_graphplan/p30-06.pl,29,50,30.697883481
miconic_graphplan/p30-07.pl,37,64,42.719858073
miconic_graphplan/p30-08.pl,44,70,40.090775308
miconic_graphplan/p30-09.pl,53,82,45.841284049
miconic_graphplan/p30-10.pl,53,82,47.445866609
